Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
Artson,522134,,INE133D01023,Industrial Manufacturing,Industrial Products,155.00,24.57,-13.64,2.13,18.53,124.29,-3.69,48.56,-1.52,-89.07,1.01,-1.02,3.25,352.33,2.61,-1.02,-0.03,13.95,18.54,34.79,7.39,28.00,-46.83,0.00,34.79,0.85,176.08,-4.04,0.00,113.55,-2.49,19.47,16.98,2.40,14.58,9.78,4.80,0.00,3.69,0.00,-1.08,43.96,5.43,144.30,122.07,120.60,-7.11,9.25,2.46,-9.43,-13.64,20.44,18.07,7.34,-22.90,572.26
Ashiana Housing,523716,ASHIANA,INE365D01021,Realty,"Residential, Commercial Projects",336.80,3.33,117.25,0.71,0.44,2.74,11.66,349.96,4.80,19.27,1.37,201.68,3.26,27.15,790.42,201.68,0.19,19.19,1122.37,3.85,2.36,14.48,59.70,82.69,3.85,0.43,1038.10,12.25,0.00,528.72,17.50,23.73,45.21,12.63,32.58,2.41,26.19,-3.98,20.10,0.00,770.32,154.53,121.59,3934.24,3736.47,2726.31,127.17,0.78,13.46,157.31,117.25,233.51,195.45,-123.16,52.25,3382.14
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,169.30,14.26,3605.77,4.47,4.33,28.82,5.64,54513.09,6.60,13.55,1.35,2.18,1.85,-21.06,12583.18,2.18,-0.47,16.11,19418.45,6.10,3.21,774.07,97.20,59.07,6.10,1.17,53811.19,19.38,0.01,48535.14,9207.75,405.44,9532.11,1086.65,8445.46,3930.21,4596.33,81.08,587.39,0.00,11995.79,34410.13,15551.98,85310.24,34329.81,25451.93,10427.68,4516.86,1163.35,9828.50,3585.58,128.47,-1470.51,-5758.60,6957.58,99444.36
Ashwini Contain.,,ASHWINI,INE1A6Q01010,Transport Services,Road Transport,147.10,24.08,10.89,12.12,2.46,72.05,11.45,74.90,6.19,11.27,1.65,3.35,2.35,-44.10,30.40,3.35,,6.54,92.35,4.31,4.70,11.08,22.27,0.00,4.31,1.65,93.78,26.53,0.00,93.78,24.88,1.94,26.15,7.91,18.24,5.45,13.46,0.67,10.00,0.00,20.40,62.05,0.52,121.21,43.28,26.26,24.88,5.45,7.91,18.24,11.45,19.92,2.05,-18.01,-1.46,220.65
Asian Granito,532888,ASIANTILES,INE022I01019,Consumer Durables,Ceramics,77.65,2.17,51.68,1.03,0.20,2.10,2.61,294.81,3.51,17.77,1.80,2.92,1.34,-12.48,1441.87,2.92,-0.10,14.35,1466.15,1.46,3.66,28.18,114.33,0.00,1.46,1.32,1711.69,7.27,5.07,1558.53,71.66,13.19,85.24,50.69,34.55,26.39,7.77,-0.39,231.91,0.00,1209.96,254.95,16.83,2287.99,1256.16,696.92,124.39,30.42,53.81,88.78,49.98,81.42,-91.87,-162.08,72.19,2294.70
Asian Hotels (E),533227,AHLEAST,INE926K01017,Leisure Services,Hotels & Resorts,172.00,11.76,2.41,2.74,1.55,7.36,-32.43,353.41,7.37,12.53,0.24,1.58,2.38,-2.26,228.38,1.58,-1.99,20.17,-47.58,2.61,1.11,751.62,50.02,9.87,2.61,0.24,122.93,32.44,0.00,113.02,29.79,41.02,70.69,3.83,66.86,39.80,27.18,0.12,17.29,0.00,211.09,329.60,0.00,700.86,77.14,319.26,39.88,29.49,4.37,46.55,-56.08,0.39,-10.46,9.58,-9.14,293.13
Asian Hotels (N),500023,ASIANHOTNR,INE363A01022,Leisure Services,Hotels & Resorts,295.75,6.66,-44.99,-4.26,3.38,-40.98,20.89,627.09,2.12,30.78,0.04,0.44,3.80,6.93,185.26,0.44,-0.15,3.35,163.27,6.19,0.84,2.87,-77.40,0.00,6.19,0.03,329.68,15.46,0.00,318.19,84.06,303.60,86.55,21.99,64.56,133.63,232.04,301.11,19.45,0.00,165.81,415.10,134.96,1476.97,55.09,1288.03,50.98,91.00,20.74,39.84,40.63,436.57,430.92,-5.30,-430.90,1253.05
Asian Star Co.,531847,ASTAR,INE194D01017,Consumer Durables,"Gems, Jewellery And Watches",644.50,4.20,36.34,1.66,0.32,2.89,22.70,513.84,5.77,15.37,3.04,2.73,0.34,13.14,1608.67,2.73,0.01,12.38,1693.05,1.64,3.65,4.48,105.48,5.56,1.64,1.80,2990.34,2.10,0.00,2955.75,82.68,17.95,102.26,11.04,91.22,35.46,54.13,-1.63,16.01,0.00,1592.66,402.12,125.89,2440.21,2209.31,726.40,62.87,26.31,9.11,71.80,34.75,230.41,226.37,17.45,-248.07,1031.64
Asit C Mehta Fin,530723,,INE041B01014,Capital Markets,Stockbroking & Allied,126.99,5.41,-0.83,-1.42,4.36,-10.09,-1.01,98.64,5.54,14.44,1.94,0.94,1.38,-15.92,22.64,0.94,-0.49,-35.74,112.82,7.64,2.05,-16.44,-56.61,0.00,7.64,1.94,76.02,9.02,0.00,77.08,8.59,0.78,9.37,2.09,7.28,10.02,-2.74,0.00,8.25,0.00,14.39,54.54,63.48,176.18,94.37,48.75,6.86,10.06,2.36,9.47,-0.75,-6.37,-7.46,-0.44,14.72,104.72
Aspinwall & Co,,ASPINWALL,INE991I01015,Transport Services,Logistics Solution Provider,228.60,8.84,5.56,5.21,0.44,7.79,12.04,81.59,4.67,14.49,1.72,1.49,0.48,-161.61,186.67,1.49,-0.11,5.62,176.85,1.46,3.39,-5.07,20.93,34.98,1.46,0.60,376.06,3.24,0.00,335.96,19.44,6.16,25.76,5.03,20.73,4.47,16.10,-0.16,7.82,0.00,178.85,66.19,3.21,314.91,210.29,122.12,12.20,7.64,5.44,11.37,9.41,-35.26,-40.46,-22.86,36.98,178.73
