Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Current ratio,Interest Coverage Ratio,Net worth,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Piotroski score,Debtor days,Days Inventory Outstanding,Cash Conversion Cycle,Contingent liabilities,Market Capitalization
Bharat Seats,523229,BHARATSE,INE415D01024,Auto Components,Auto Components & Equipments,189.59,20.16,43.24,6.25,0.48,20.39,6.72,110.10,0.88,6.80,229.66,0.09,2.61,317.59,3.01,5.90,3.01,0.73,1950.95,5.08,0.00,1950.95,99.16,3.91,104.44,35.29,69.15,10.17,57.61,-1.37,12.56,0.00,217.10,40.33,111.52,736.65,355.58,405.57,99.16,10.17,35.29,69.15,42.23,106.71,58.88,-47.20,-47.15,8.00,49.29,13.09,-6.90,65.52,1190.63
Bharti Hexacom,544162,BHARTIHEXA,INE343G01021,Telecom - Services,Telecom - Cellular & Fixed line services,1562.30,21.82,1758.85,9.18,0.86,26.86,34.66,6137.30,0.38,4.83,7165.20,0.08,3.54,10819.90,2.67,7.85,2.67,0.38,9353.80,52.28,0.00,9353.80,4890.40,190.10,5114.20,2213.20,2901.00,601.20,2266.10,-33.70,250.00,0.00,6915.20,0.00,7352.80,19050.60,2225.00,5919.60,4890.40,601.20,2213.20,2901.00,1733.20,4464.00,3026.30,-2010.20,-2437.90,9.00,4.23,,4.23,155.70,78115.00
Borosil Renew.,502219,BORORENEW,INE666D01022,Industrial Products,Glass - Industrial,500.20,25.31,327.37,19.86,0.11,26.10,9.21,162.14,4.76,26.09,1510.83,,1.27,1448.14,1.09,9.31,1.09,4.14,1555.84,28.31,0.00,1555.84,440.44,-188.47,465.38,95.39,369.99,14.18,142.40,-213.41,14.02,0.00,1496.81,250.67,1.03,1824.89,919.19,192.98,440.44,14.18,95.39,369.99,127.39,423.09,226.23,-735.98,323.36,8.00,28.46,115.05,95.79,73.60,7016.96
Britannia Inds.,500825,BRITANNIA,INE216A01030,Food Products,Packaged Foods,5406.00,56.02,2533.49,27.33,0.27,53.55,105.18,1380.28,1.12,30.17,5106.56,0.07,0.54,3386.63,1.82,25.33,1.82,0.80,19151.59,18.35,0.00,19151.59,3514.34,224.03,3738.37,336.83,3401.54,112.76,3288.78,0.00,24.09,0.00,5082.47,8.22,1238.29,9731.94,4677.66,4179.99,3514.34,112.76,336.83,3401.54,2537.01,2611.60,2408.15,-757.27,-1782.62,8.00,8.94,44.13,-9.11,79.47,130213.40
Butterfly Gan Ap,517421,BUTTERFLY,INE295F01017,Consumer Durables,Household Appliances,711.60,18.02,46.78,9.09,0.02,13.41,25.53,7.65,2.10,36.11,372.26,0.23,0.17,351.35,1.38,7.07,1.38,1.30,943.15,8.51,0.00,943.15,80.28,6.72,88.59,23.95,64.64,1.79,61.26,-1.59,17.88,0.00,354.38,0.00,12.24,559.22,378.89,180.33,80.28,1.79,23.95,64.64,45.64,88.37,76.18,-76.76,-8.27,9.00,23.43,91.21,47.94,2.84,1272.34
C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1009.00,35.11,3102.70,16.71,0.18,32.13,208.36,1964.16,1.62,35.67,11109.21,0.55,0.63,12029.52,1.67,6.13,1.67,0.50,63640.06,7.48,0.00,63640.06,4757.14,135.37,4892.51,609.97,4282.54,120.07,4162.47,0.00,148.91,0.00,10960.30,183.09,2934.34,20034.62,11727.95,7226.24,4757.14,120.07,609.97,4282.54,3102.70,2944.96,2045.05,-929.77,-1294.12,8.00,1.35,52.84,28.97,720.28,15025.16
Carraro India,544320,CARRARO,INE0V7W01012,Auto Components,Auto Components & Equipments,570.05,21.84,116.38,7.88,0.34,19.97,19.36,169.55,1.49,8.79,504.30,0.05,1.97,621.40,2.30,7.46,2.30,0.89,2076.57,9.40,0.00,1792.15,166.15,15.76,181.02,43.47,137.55,22.42,116.02,0.89,56.85,0.00,447.45,128.44,61.02,1184.71,745.66,500.16,195.14,19.95,44.37,175.33,110.09,94.54,43.35,-75.62,-58.62,8.00,58.43,83.00,44.09,207.23,3240.82
CCL Products,519600,CCL,INE421D01022,Agricultural Food & other Products,Tea & Coffee,1116.30,15.82,388.10,9.06,0.56,18.00,29.07,1324.36,1.49,4.58,2344.56,-0.01,3.41,2754.24,1.83,7.95,1.83,0.79,4457.37,16.44,0.00,4457.37,732.94,8.43,741.37,151.93,589.44,128.75,460.69,0.00,26.71,0.00,2317.85,1812.61,2.17,4326.29,2209.27,1485.83,732.94,128.75,151.93,589.44,388.10,858.29,788.49,-69.62,-756.92,8.00,66.89,130.99,165.99,83.86,14905.72
Cemindia Project,509496,CEMPRO,INE686A01026,Construction,Civil Construction,899.55,33.83,597.73,8.80,0.38,28.24,34.79,904.91,1.25,4.80,2399.59,0.09,1.51,2312.89,2.83,6.05,2.83,1.08,10060.58,10.15,0.00,10060.58,1021.56,176.96,1198.52,165.89,1032.63,215.01,817.62,0.00,17.18,0.00,2382.41,874.37,86.88,7086.45,5630.54,4507.20,1021.56,215.01,165.89,1032.63,597.73,499.78,273.62,-148.99,-242.52,8.00,46.97,81.69,-109.54,1699.10,15453.15
Chalet Hotels,542399,CHALET,INE427F01016,Leisure Services,Hotels & Resorts,784.65,17.07,645.91,8.98,0.64,19.15,29.46,2367.67,0.70,5.54,3697.79,-0.01,3.67,5442.33,1.95,5.24,1.95,0.49,2769.75,42.87,-0.05,2769.75,1187.41,41.65,1230.08,229.95,1000.13,180.45,818.66,-1.02,218.99,0.00,3478.80,2475.72,53.97,7308.63,903.13,1286.64,1187.41,180.45,229.95,1000.13,645.02,950.39,-13.56,-1354.91,495.59,8.00,9.06,173.53,76.35,46.07,17183.37
Credo Brands,544058,MUFTI,INE220Q01020,Retailing,Speciality Retail,77.40,19.07,47.03,9.36,0.58,18.41,7.04,241.81,3.55,3.48,416.07,0.14,3.53,590.78,1.80,3.39,1.80,2.66,583.01,26.38,0.00,618.18,181.09,4.79,187.02,68.57,118.45,25.48,91.83,-1.14,13.07,0.00,403.00,1.42,235.57,776.99,422.27,118.99,153.78,25.61,74.16,89.13,46.02,159.12,137.92,-19.70,-95.83,8.00,141.19,140.63,246.46,7.97,505.96
Cummins India,500480,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",5392.00,36.32,2329.11,20.85,0.00,28.15,80.87,24.35,3.16,199.98,7895.05,0.05,0.01,7461.37,1.27,26.37,1.27,2.66,11602.39,21.36,0.00,10390.69,2080.04,713.69,2787.52,185.07,2602.45,15.85,2592.81,6.21,55.44,0.00,7839.61,0.00,29.66,10540.24,7352.70,2329.53,2477.99,15.27,193.96,3053.75,2241.79,1684.86,1454.93,-580.04,-1167.96,8.00,80.01,55.57,48.85,98.80,149466.24
Data Pattern,543428,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,3876.50,23.28,273.62,14.52,0.00,16.87,48.47,5.27,10.45,30.44,1735.97,0.02,0.02,1662.23,1.09,21.21,1.09,8.50,924.77,40.44,0.00,924.77,373.99,24.95,401.95,22.95,379.00,12.45,363.54,-3.01,11.20,0.00,1724.77,0.00,6.17,1929.22,1468.21,140.44,373.99,12.45,22.95,379.00,271.37,80.15,8.09,-3.21,-57.73,8.00,287.25,294.12,498.89,535.43,21702.19
Deepak Fertilis.,500645,DEEPAKFERT,INE501A01019,Chemicals & Petrochemicals,Commodity Chemicals,1318.50,15.67,875.10,7.47,0.68,15.56,69.32,4440.15,1.44,4.25,6514.59,0.00,4.70,10084.59,1.99,3.59,1.99,0.97,11162.00,16.21,0.00,10274.42,1924.79,80.75,1981.14,403.33,1577.81,412.92,1189.29,24.40,126.24,0.00,6388.35,3781.36,371.01,15026.49,5382.40,3739.39,1809.79,360.32,426.79,1529.56,877.23,1879.66,763.09,-1061.51,-688.97,8.00,57.45,58.49,22.17,1871.10,16644.46
Dynamic Cables,540795,DYCL,INE600Y01019,Industrial Products,Cables - Electricals,307.95,26.69,84.44,13.28,0.09,20.32,17.43,43.10,2.52,10.85,457.24,0.10,0.51,458.07,1.39,7.37,1.39,1.72,1197.82,10.82,0.00,1197.82,129.56,6.75,136.31,11.77,124.54,11.48,113.06,0.00,48.46,0.00,408.78,50.10,8.76,682.66,544.90,216.03,129.56,11.48,11.77,124.54,84.44,61.59,4.40,-31.68,-29.90,8.00,87.72,65.42,92.81,172.08,1492.28
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1483.10,34.81,706.21,20.67,0.15,29.02,75.09,384.96,3.40,23.19,2561.40,0.18,0.54,2758.40,1.33,9.54,1.33,3.40,4117.03,25.54,0.71,4117.03,1051.45,101.18,1152.63,175.37,977.26,42.14,935.12,0.00,92.03,0.00,2469.37,0.00,358.13,3697.02,2406.32,706.78,1051.45,42.14,175.37,977.26,706.47,873.47,755.59,-140.82,-621.57,8.00,59.08,,59.08,28.66,13948.66
Effwa Infra,,EFFWA,INE0U9101019,Other Utilities,Waste Management,254.00,29.26,28.62,16.46,0.31,26.21,12.36,38.00,2.92,11.53,123.50,0.01,1.33,137.10,1.41,8.30,1.41,2.91,253.29,16.62,0.00,253.29,42.10,0.00,42.10,0.25,41.85,3.63,38.22,0.00,23.15,0.00,100.35,0.17,29.54,198.09,177.67,60.92,42.10,3.63,0.25,41.85,28.62,29.43,29.18,-20.02,5.00,8.00,185.48,,185.48,0.00,587.94
EIH,500840,EIHOTEL,INE230A01023,Leisure Services,Hotels & Resorts,316.10,23.43,759.43,14.70,0.05,17.95,10.29,250.08,3.00,48.75,4705.81,0.12,0.32,4631.65,1.18,7.80,1.18,2.88,2871.86,36.23,0.00,2743.15,1028.24,155.56,1223.15,134.47,1088.68,21.35,1027.98,-39.35,125.07,0.00,4580.74,0.00,265.06,5896.54,1576.27,525.68,1040.60,22.82,137.57,1112.38,669.81,825.08,346.05,-423.65,-112.82,9.00,31.87,88.12,-290.36,50.52,19767.76
EIH Assoc.Hotels,523127,EIHAHOTELS,INE276C01014,Leisure Services,Hotels & Resorts,317.50,25.70,98.60,15.84,0.01,19.24,15.72,4.12,3.87,282.91,523.67,0.22,0.04,527.53,1.13,7.67,1.13,3.67,396.45,32.73,0.00,408.24,128.08,12.81,146.68,17.19,129.49,0.42,123.28,-5.79,60.94,0.00,462.73,0.00,4.27,640.68,280.83,72.63,129.75,0.47,16.77,132.97,95.82,108.75,81.43,-88.95,-19.01,8.00,23.63,,23.63,11.02,1934.73
Elgi Equipments,522074,ELGIEQUIP,INE285A01027,Industrial Products,"Compressors, Pumps & Diesel Engines",523.25,21.91,414.88,11.93,0.26,20.06,12.75,527.60,2.12,21.92,2008.00,0.07,1.51,1900.10,1.57,11.51,1.57,1.51,3831.00,14.48,0.00,3510.40,528.90,63.20,590.00,76.00,514.00,34.50,481.60,2.10,31.70,0.00,1976.30,352.50,224.70,3176.90,2249.40,1062.60,554.80,27.20,80.30,596.10,404.20,390.90,297.70,-282.90,-217.10,8.00,63.26,129.32,121.03,3.80,16582.26
Emami,531162,EMAMILTD,INE548C01032,Personal Products,Personal Care,428.05,32.42,803.39,22.73,0.02,30.18,18.20,71.96,2.74,83.33,2930.83,0.19,0.09,2115.56,1.26,11.49,1.26,2.14,3817.46,25.98,0.00,3809.19,1013.50,67.92,1043.04,178.21,864.83,9.34,893.87,38.38,43.65,0.00,2887.18,61.78,28.01,3671.05,1858.45,678.52,991.87,10.76,178.62,896.61,794.26,895.86,852.43,-344.59,-499.61,9.00,43.24,94.17,4.27,5.82,18684.38
Escorts Kubota,500495,ESCORTS,INE042A01014,"Agricultural, Commercial & Construction Vehicles",Tractors,3000.20,15.72,1348.70,9.34,0.01,11.86,213.99,161.89,3.26,88.48,12372.83,0.33,0.07,9340.67,1.17,6.13,1.17,2.78,11540.26,12.97,0.00,11540.26,1496.36,1617.52,2062.72,255.06,1807.66,20.43,2838.39,1051.16,111.88,0.00,12260.95,2.25,102.93,15799.36,10091.04,3095.50,1496.36,20.43,255.06,1807.66,2394.05,1381.16,1068.61,-1128.16,-419.64,8.00,38.03,66.88,5.28,726.43,33565.56
Excelsoft Tech.,544617,EXCELSOFT,INE606N01019,IT - Services,IT Enabled Services,88.62,16.40,34.70,7.78,0.12,10.38,3.47,44.89,4.85,14.04,402.69,0.38,1.29,406.01,1.20,6.06,1.20,4.85,233.29,31.43,0.00,233.29,73.32,15.45,88.79,24.65,64.14,4.57,59.55,-0.02,115.08,0.00,287.61,26.59,8.54,489.92,347.14,71.55,73.32,4.57,24.65,64.14,34.69,52.61,290.49,7.47,-56.47,8.00,79.97,,79.97,306.55,1019.88
Federal-Mogul Go,505744,FMGOETZE,INE529A01010,Auto Components,Auto Components & Equipments,436.15,19.60,189.87,10.45,0.00,14.05,32.52,2.05,3.16,39.36,1359.76,0.47,0.01,1389.38,1.32,5.22,1.32,2.64,1928.57,16.48,0.00,1800.19,293.51,35.54,336.54,87.49,249.05,6.69,234.87,-7.49,55.63,0.00,1304.13,0.00,3.03,1852.40,1258.72,398.93,317.81,7.07,88.29,278.30,188.62,220.69,174.50,-16.92,-11.78,9.00,67.64,103.13,1.13,104.30,2426.30
Fermenta Biotec.,506414,FERMENTA,INE225B01021,Pharmaceuticals & Biotechnology,Pharmaceuticals,292.65,22.97,88.47,13.87,0.29,24.88,29.55,111.89,1.50,9.87,390.65,0.22,1.46,357.19,1.60,4.58,1.60,0.88,543.69,21.48,0.00,467.51,115.46,6.86,127.28,24.22,103.06,14.89,83.21,-4.96,14.44,0.00,376.21,109.40,5.54,651.40,336.04,223.82,116.79,11.71,22.45,115.55,84.97,40.90,38.02,-0.16,-50.87,8.00,74.35,306.19,188.65,1.63,861.30
Fiem Industries,532768,FIEMIND,INE737H01014,Auto Components,Auto Components & Equipments,2168.20,27.80,240.55,15.29,0.06,20.99,92.48,61.53,2.38,214.57,1080.34,0.12,0.30,1128.50,1.27,9.61,1.27,1.75,2703.78,13.74,0.00,2422.61,322.19,19.87,338.12,64.26,273.86,1.54,276.26,3.94,26.32,0.00,1054.02,0.00,22.09,1567.31,941.58,395.49,371.58,1.50,71.39,321.86,243.41,233.06,131.51,-85.56,-55.21,9.00,36.51,56.72,37.23,87.68,5706.63
Firstsour.Solu.,532809,FSL,INE684F01012,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),237.60,16.17,751.06,8.80,0.67,17.71,9.54,2921.90,0.79,6.22,4384.53,0.00,4.33,4880.52,1.95,4.88,1.95,0.79,9556.39,16.28,0.00,9556.39,1556.18,-90.78,1563.63,434.09,1129.54,181.47,849.84,-98.23,696.99,0.00,3687.54,0.00,2569.26,9320.04,2762.29,3478.52,1556.18,181.47,434.09,1129.54,674.42,1213.98,1081.57,-452.36,-666.78,8.00,79.39,,79.39,212.49,16798.99
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles,Passenger Cars & Utility Vehicles,20356.00,36.08,1056.51,18.11,0.00,29.23,919.55,0.00,1.87,401.14,4194.35,0.12,0.00,4245.15,1.39,9.84,1.39,1.26,9057.05,16.38,0.00,9057.05,1483.15,321.81,1593.72,285.99,1307.73,3.26,1515.71,211.24,13.18,0.00,4181.17,17.43,0.00,6537.55,3831.62,2044.22,1483.15,3.26,285.99,1307.73,1211.75,1297.09,760.75,-899.84,-73.40,8.00,7.70,71.69,20.11,118.28,26821.60
Frontier Springs,522195,FRONTSP,INE572D01014,Auto Components,Auto Components & Equipments,1573.90,41.56,56.39,23.35,0.04,32.04,47.79,6.54,4.59,272.25,155.37,0.04,0.19,131.79,1.18,21.05,1.18,2.48,309.59,25.69,0.00,231.32,50.02,0.98,50.34,4.01,46.33,0.59,46.40,0.66,3.96,0.00,151.41,4.06,1.88,182.27,88.06,19.18,79.52,0.28,4.26,76.23,56.39,22.11,7.50,-20.46,1.28,8.00,60.65,125.65,92.16,0.00,1859.65
Garware Tech.,509557,GARFIBRES,INE276A01018,Textiles & Apparels,Other Textile Products,628.45,24.68,212.36,13.13,0.10,18.72,21.39,131.82,2.41,22.27,1298.35,0.16,0.57,1087.52,1.42,8.08,1.42,1.65,1534.93,18.61,0.00,1540.11,318.93,37.90,357.00,28.34,328.66,20.03,308.46,-0.17,99.27,0.00,1199.08,61.42,3.44,1877.29,1181.98,489.83,285.63,13.55,32.68,301.79,212.51,195.10,151.39,-2.78,-330.85,8.00,75.09,226.86,80.63,9.02,6238.36
GE Power,532309,GVPIL,INE878A01011,Electrical Equipment,Heavy Electrical Equipment,696.10,79.96,349.46,16.84,0.03,77.73,37.58,17.59,1.28,17.26,582.54,0.23,0.07,472.23,3.56,5.30,3.56,1.18,1269.39,20.44,0.00,1269.39,259.52,33.44,390.33,12.28,378.05,21.90,258.78,-97.37,67.23,0.00,515.31,0.00,28.83,2138.38,1954.41,1525.57,259.52,21.90,12.28,378.05,252.61,319.65,314.37,53.99,-65.84,8.00,219.22,71.43,26.56,427.42,4679.70
GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,4342.60,54.74,1117.51,14.76,0.01,40.35,41.71,30.47,1.28,113.25,2086.30,0.01,0.05,1542.77,2.33,31.81,2.33,1.04,5721.77,26.06,0.00,4292.30,831.12,62.47,893.71,47.31,846.40,26.61,819.67,-0.12,51.21,0.00,2035.09,0.00,34.56,6064.45,4986.88,3881.38,1490.83,13.42,45.79,1519.83,1067.97,903.58,816.21,-495.28,-69.05,9.00,124.91,100.44,78.89,487.44,111192.27
Gillette India,507815,GILLETTE,INE322A01010,Personal Products,Personal Care,7806.50,56.06,620.48,21.84,0.00,41.62,190.42,0.05,1.77,70.29,1162.57,0.06,0.00,1022.16,1.87,22.79,1.87,1.18,3075.00,28.99,0.00,2234.84,600.32,26.62,628.30,64.28,564.02,8.51,554.15,-1.36,32.59,0.00,1129.98,0.00,0.05,2149.45,1542.12,872.90,891.54,11.98,84.16,842.03,620.48,327.85,284.33,-27.40,-358.43,8.00,61.90,180.82,-16.99,2349.41,25441.38
Gland Pharma,543245,GLAND,INE068V01023,Pharmaceuticals & Biotechnology,Pharmaceuticals,1868.30,15.14,1044.04,8.82,0.03,10.70,62.35,283.59,4.68,45.74,10357.95,0.18,0.28,10752.90,1.14,6.58,1.14,3.60,6430.65,25.34,0.00,6430.65,1629.55,291.98,1945.88,423.67,1522.21,33.28,1464.58,-24.35,16.48,0.00,10341.47,0.00,313.73,12510.85,7526.79,1608.40,1629.55,33.28,423.67,1522.21,1027.32,1031.39,537.55,137.73,-416.97,8.00,107.35,283.79,255.44,21.38,30781.44
Glaxosmi. Pharma,500660,GLAXO,INE159A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,2438.80,65.14,1020.79,24.21,0.01,48.39,61.15,33.27,2.03,508.47,2267.42,0.13,0.03,2140.73,1.86,18.47,1.86,1.77,3821.67,34.26,0.00,3821.67,1309.20,165.98,1454.56,66.44,1388.12,2.73,1406.01,20.62,169.41,0.00,2098.01,0.00,9.95,4323.87,3606.18,1779.11,1309.20,2.73,66.44,1388.12,1035.98,903.30,849.43,396.98,-737.08,8.00,26.08,123.61,-4.35,464.97,41314.74
Godfrey Phillips,500163,GODFRYPHLP,INE260B01028,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,2424.90,32.84,1525.36,19.97,0.04,26.62,97.84,233.68,2.44,166.24,6212.44,0.11,0.15,3585.15,1.23,10.25,1.23,1.19,6391.11,24.79,0.00,6391.11,1584.64,488.61,2072.55,120.95,1951.60,11.74,1940.56,0.70,31.20,0.00,6181.24,29.22,148.26,8310.38,4418.33,1813.04,1584.64,11.74,120.95,1951.60,1526.02,107.25,-52.71,402.32,-491.38,8.00,51.82,233.30,230.28,211.37,37824.02
Gokul Agro,539725,GOKULAGRO,INE314T01033,Agricultural Food & other Products,Edible Oil,240.04,36.73,369.38,8.20,0.41,30.05,12.52,589.11,1.23,3.78,1422.81,0.12,1.59,1703.65,3.17,8.21,3.17,0.49,24076.98,2.81,0.00,24076.98,676.49,39.71,716.20,56.59,659.61,174.35,485.26,0.00,29.51,0.00,1393.30,527.60,16.32,4928.42,3850.48,3125.48,676.49,174.35,56.59,659.61,369.38,324.98,219.66,-186.08,-131.21,8.00,8.97,37.04,3.69,26.31,7083.26
Grindwell Norton,506076,GRINDWELL,INE536A01023,Industrial Products,Abrasives & Bearings,1859.90,22.71,415.66,12.84,0.02,17.35,37.54,60.71,2.81,68.98,2534.75,0.13,0.15,2297.89,1.28,12.53,1.28,2.17,3073.20,18.67,0.00,3073.20,573.65,95.00,668.65,105.12,563.53,8.17,555.36,0.00,55.36,0.00,2479.39,0.00,83.55,3437.86,2112.11,752.61,573.65,8.17,105.12,563.53,416.79,542.14,424.26,-315.39,-215.00,9.00,47.12,123.33,38.71,55.62,20592.81
Guj Pipavav Port,533248,GPPL,INE517F01014,Transport Infrastructure,Port & Port services,151.05,24.89,440.75,14.85,0.02,18.96,9.71,50.65,3.42,81.83,2174.18,0.33,0.13,2179.95,1.27,6.95,1.27,3.39,1093.82,58.80,0.00,987.67,577.78,80.84,658.83,117.06,541.77,5.87,535.69,-0.21,483.44,0.00,1690.74,0.00,63.36,2699.40,1146.89,335.46,643.14,7.31,123.72,598.18,469.39,446.12,350.71,-56.20,-401.02,9.00,17.61,,17.61,235.37,7302.36
H P C L,500104,HINDPETRO,INE094A01015,Petroleum Products,Refineries & Marketing,366.40,22.23,18046.89,9.07,0.85,30.93,84.81,55964.43,0.64,7.96,65556.12,0.33,3.10,76848.89,3.03,3.49,3.03,0.19,441771.34,6.93,0.00,441771.34,30632.65,3748.71,34381.36,7347.49,27033.87,3395.75,23638.12,0.00,2128.21,0.00,63427.91,14219.32,56338.90,203039.24,56569.93,88183.39,30632.65,3395.75,7347.49,27033.87,18046.89,36110.68,27898.01,-11403.94,-22770.27,8.00,6.12,37.47,14.04,6114.19,77963.42
Hero Motocorp,500182,HEROMOTOCO,INE158A01026,Automobiles,2/3 Wheelers,5064.50,35.76,5833.63,18.98,0.04,28.54,286.96,778.61,1.91,97.52,21611.19,0.33,0.13,16138.73,1.43,8.24,1.43,1.64,47411.24,14.86,0.00,47411.24,7045.13,1323.71,8487.84,854.99,7632.85,78.27,7435.58,-119.00,40.02,0.00,21571.17,0.00,699.93,33452.59,18904.53,9904.33,7045.13,78.27,854.99,7632.85,5775.70,8314.62,7226.60,-4477.77,-3533.69,8.00,18.01,30.53,-39.90,251.72,101337.07
Hindustan Copper,513599,HINDCOPPER,INE531E01026,Non - Ferrous Metals,Copper,570.25,42.40,989.82,24.34,0.03,32.93,9.52,110.92,1.68,271.57,3347.71,0.06,0.12,3235.83,1.21,22.86,1.21,1.22,3077.92,47.50,0.00,3077.92,1462.08,-24.00,1533.83,200.44,1333.39,4.91,1232.73,-95.75,483.51,0.00,2864.20,166.47,0.04,4421.18,1415.59,842.97,1462.08,4.91,200.44,1333.39,920.67,1473.57,1348.25,-433.52,-299.35,8.00,15.80,,15.80,1150.26,55144.54
Hindustan Zinc,500188,HINDZINC,INE267A01025,Non - Ferrous Metals,Zinc,637.80,69.31,13693.33,35.76,0.39,76.57,32.45,8726.00,1.47,21.84,22475.00,0.19,0.64,28507.00,1.70,13.59,1.70,1.29,40658.00,53.90,-1.13,40658.00,21913.00,1118.00,23006.00,3789.00,19217.00,880.00,18362.00,25.00,845.00,0.00,21630.00,903.00,10061.00,42173.00,16564.00,11241.00,21913.00,880.00,3789.00,19217.00,13712.00,16857.00,11584.00,-8760.00,-7899.00,9.00,3.58,,3.58,1797.00,269490.85
Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment,Heavy Electrical Equipment,32535.00,19.44,882.04,5.77,0.02,13.79,188.74,84.48,1.71,77.87,4583.09,0.04,0.22,4424.58,1.58,26.02,1.58,1.48,7277.34,14.25,0.00,6384.93,605.42,56.52,662.59,91.35,571.24,54.20,516.39,-0.65,8.92,0.00,4574.17,0.00,88.45,9762.30,8662.16,5051.33,1037.17,15.33,100.87,1193.81,841.27,1493.77,1365.52,-109.99,2294.73,8.00,120.60,91.43,10.35,327.41,145016.19
ICRA,532835,ICRA,INE725G01011,Capital Markets,Ratings,5390.00,23.13,189.16,13.83,0.01,16.75,191.49,12.25,5.86,55.56,1087.32,0.29,0.07,1094.33,1.18,9.15,1.18,5.86,560.87,36.49,0.00,498.02,177.80,77.37,255.15,16.39,238.76,4.80,233.98,0.02,9.65,0.00,1077.67,1.16,11.98,1364.32,1211.21,206.69,204.64,4.74,22.74,263.36,185.83,144.89,132.66,-16.89,-103.13,8.00,34.88,,34.88,1.58,5202.01
India Nipp.Elec.,532240,INDNIPPON,INE092B01025,Auto Components,Auto Components & Equipments,750.60,15.43,98.36,9.27,0.00,12.33,43.48,1.66,2.49,393.91,784.75,0.40,0.02,450.49,1.25,5.43,1.25,2.03,1002.78,10.90,0.00,844.83,93.77,30.11,123.88,20.56,103.32,0.39,102.93,0.00,11.31,0.00,773.44,0.00,2.11,1025.97,474.28,190.22,109.33,0.32,19.33,126.05,98.36,49.56,26.31,-12.15,-29.75,8.00,73.30,45.94,30.06,11.67,1697.96
Indo Tech.Trans.,532717,INDOTECH,INE332H01014,Electrical Equipment,Heavy Electrical Equipment,2599.80,37.80,89.83,15.50,0.04,25.66,84.59,11.74,2.43,51.71,324.61,0.05,0.18,315.55,1.47,12.37,1.47,1.48,749.15,14.50,0.00,611.78,84.62,16.45,101.07,4.47,96.60,10.62,85.98,0.00,10.62,0.00,313.99,8.16,0.00,510.46,430.80,177.45,108.61,2.29,4.66,118.42,89.83,55.75,39.60,-18.15,1.43,8.00,73.12,113.96,135.36,1.32,2760.99
Indosolar,533257,WAAREEINDO,INE866K01023,Electrical Equipment,Heavy Electrical Equipment,401.10,123.80,246.60,84.28,0.01,150.63,59.27,3.07,6.70,185.47,287.00,0.06,0.01,293.85,1.02,13.86,1.02,6.11,679.85,39.82,0.00,679.85,270.74,1.52,272.26,36.71,235.55,1.27,234.28,0.00,41.60,0.00,245.40,0.00,50.04,344.40,238.41,35.58,270.74,1.27,36.71,235.55,246.60,78.37,53.49,-24.46,-65.85,8.00,112.54,21.39,113.63,0.00,1668.72
InfoBeans Tech.,543644,INFOBEAN,INE344S01016,IT - Software,Computers - Software & Consulting,151.07,29.16,86.66,19.47,0.04,23.24,8.94,14.67,10.14,85.53,413.55,0.29,0.17,434.53,1.08,8.55,1.08,10.14,513.57,21.93,-1.57,513.57,112.65,25.35,138.00,24.25,113.75,1.33,112.42,0.00,96.96,0.00,316.59,0.00,19.70,489.35,345.12,34.05,112.65,1.33,24.25,113.75,86.66,84.91,70.67,-57.28,-21.36,8.00,76.52,,76.52,0.00,1464.77
Kajaria Ceramics,500233,KAJARIACER,INE217B01036,Consumer Durables,Ceramics,1064.40,23.27,519.95,13.40,0.07,17.90,30.48,228.59,2.97,33.12,3065.58,0.12,0.47,3109.25,1.27,10.00,1.27,2.15,4830.36,17.91,0.00,4830.36,864.98,6.80,918.86,169.37,749.49,22.63,679.78,-47.08,15.93,0.00,3049.65,168.41,105.45,4029.21,1982.33,666.96,864.98,22.63,169.37,749.49,487.00,663.67,563.06,-336.37,-290.23,9.00,47.49,97.36,88.44,120.63,16952.94
