Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Current ratio,Interest Coverage Ratio,Net worth,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Piotroski score,Debtor days,Days Inventory Outstanding,Cash Conversion Cycle,Contingent liabilities,Market Capitalization
Sika Interplant,523606,SIKA,INE438E01032,Aerospace & Defense,Aerospace & Defense,915.90,35.24,36.44,22.24,0.00,26.08,17.19,0.00,3.42,96.55,155.55,0.08,0.00,78.76,1.05,21.35,1.05,3.42,211.23,21.38,0.00,211.23,45.16,5.13,50.29,1.05,49.24,0.51,48.73,0.00,4.24,0.00,151.31,0.00,0.00,175.16,49.31,14.42,45.16,0.51,1.05,49.24,36.44,46.55,46.14,-39.56,-5.60,9.00,18.32,0.00,18.32,15.42,1941.79
Silver Touch,543525,SILVERTUC,INE625X01026,IT - Software,Computers - Software & Consulting,148.10,28.93,35.73,13.25,0.19,23.56,2.82,33.01,1.95,7.83,169.63,0.00,0.92,146.28,1.59,13.10,1.59,1.94,345.60,18.38,0.01,345.60,63.52,0.00,63.52,8.56,54.96,7.02,47.94,0.00,25.36,0.00,144.27,42.62,0.87,296.34,194.76,100.03,63.52,7.02,8.56,54.96,35.73,17.15,12.76,-3.08,-20.27,8.00,121.18,6.69,-59.97,32.51,1878.06
SJS Enterprises,543387,SJS,INE284S01014,Auto Components,Auto Components & Equipments,1902.70,28.70,170.70,17.36,0.03,22.10,53.35,23.26,2.95,60.15,867.88,0.10,0.14,861.53,1.14,11.83,1.14,2.53,955.07,28.30,-0.03,955.07,270.33,17.63,287.96,53.98,233.98,3.89,230.09,0.00,32.00,0.00,835.88,9.45,27.72,1112.13,601.90,204.22,270.33,3.89,53.98,233.98,171.80,223.88,141.64,-209.66,-6.62,8.00,85.43,75.96,80.83,2.31,6088.03
SML Mahindra,505192,SMLMAH,INE294B01019,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,3634.40,30.92,159.75,11.85,0.56,35.42,110.39,289.11,1.25,11.32,519.34,-0.01,1.81,583.01,2.60,9.30,2.60,0.42,2837.92,9.81,0.00,2837.92,278.40,8.32,286.72,52.03,234.69,20.74,213.95,0.00,14.48,0.00,504.86,284.27,42.79,1396.78,988.72,789.71,278.40,20.74,52.03,234.69,159.75,156.19,86.08,-65.83,-88.95,8.00,34.75,111.28,77.73,26.06,5258.98
Subros,517168,SUBROS,INE287B01021,Industrial Products,Other Industrial Products,748.10,19.95,168.07,8.46,0.02,14.48,24.91,23.95,1.56,22.29,1158.43,0.13,0.16,1196.45,1.60,7.15,1.60,0.94,3614.22,8.98,0.00,3367.57,322.93,20.31,340.15,128.17,211.98,11.48,203.59,3.09,13.05,0.00,1145.38,0.00,40.94,2000.59,1147.79,734.88,324.67,10.51,128.06,234.25,162.52,174.84,58.42,-164.55,-13.08,9.00,48.92,56.10,20.94,47.85,4880.29
Sun Pharma.Inds.,524715,SUNPHARMA,INE044A01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,1878.20,20.21,12137.31,12.97,0.07,16.86,45.49,5215.10,2.57,55.58,77819.72,0.12,0.48,71446.80,1.23,9.51,1.23,2.12,56809.09,30.79,0.00,52578.44,15114.46,1444.42,17253.13,2575.39,14677.74,231.36,13752.13,-694.25,239.93,0.00,77579.79,0.00,2362.19,103706.50,60136.43,23415.26,17493.29,302.16,2826.17,16793.21,10952.92,14072.09,12004.52,-5183.15,-7905.82,9.00,90.57,347.88,228.42,8434.44,450643.09
Syncom Formul.,524470,SYNCOMF,INE312C01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,13.80,18.59,68.89,12.12,0.00,15.50,0.73,0.30,4.83,110.18,376.46,0.13,0.01,369.03,1.18,8.18,1.18,4.37,501.04,14.60,0.00,460.53,53.68,17.20,70.46,5.19,65.27,1.03,64.66,0.42,94.00,0.00,282.46,4.04,0.00,451.14,298.87,61.93,73.16,0.83,5.34,91.45,68.93,23.31,13.35,-18.38,-67.59,8.00,84.76,49.11,83.04,0.86,1297.20
Talbros Auto.,505160,TALBROAUTO,INE187D01029,Auto Components,Auto Components & Equipments,322.30,19.31,99.08,10.31,0.13,15.93,16.05,86.01,1.80,10.09,681.34,0.20,0.91,465.57,1.43,5.64,1.43,1.31,839.36,15.55,0.00,827.05,129.59,35.42,163.42,31.88,131.54,13.70,119.43,1.59,12.35,0.00,668.99,81.42,12.40,1010.66,501.86,278.31,130.48,13.70,32.18,138.22,99.08,80.02,29.37,-44.65,-22.88,8.00,108.43,106.99,71.26,5.57,1989.50
Tech Mahindra,532755,TECHM,INE669C01036,IT - Software,Computers - Software & Consulting,1370.50,23.14,5000.32,10.67,0.07,17.55,49.10,2186.20,1.90,21.29,29615.40,0.18,0.45,27968.00,1.58,7.14,1.58,1.89,56815.40,15.90,-0.01,56815.40,9032.60,-240.50,9064.50,1881.60,7182.90,337.40,6573.10,-272.40,442.80,0.00,29172.60,41.00,1984.20,49369.40,27574.70,14497.50,9032.60,337.40,1881.60,7182.90,4805.50,6172.00,5625.90,-409.20,-5130.50,8.00,48.42,,48.42,4408.80,134302.72
Time Technoplast,532856,TIMETECHNO,INE508G01029,Industrial Products,Plastic Products - Industrial,178.12,17.35,446.40,9.25,0.22,14.22,9.61,684.26,2.89,8.21,3047.35,0.07,1.73,3408.71,1.47,6.38,1.47,1.76,5897.27,14.66,0.05,5457.04,784.96,5.27,789.22,169.67,619.55,91.53,529.03,1.01,49.36,0.00,2997.99,646.51,85.51,4516.26,2948.40,1019.08,864.79,84.18,180.38,690.80,454.11,430.52,274.82,-146.60,-248.73,9.00,77.75,107.86,143.23,31.96,8792.63
Torrent Pharma.,500420,TORNTPHARM,INE685A01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,4405.70,27.05,2305.53,13.26,0.33,26.52,67.13,2822.00,1.40,15.90,8449.23,0.04,1.48,10086.00,1.90,17.79,1.90,0.84,12742.00,32.70,0.00,11516.09,3720.99,-0.94,3726.19,794.93,2931.26,252.31,2672.81,-6.14,169.23,0.00,8280.00,2226.12,976.20,15515.00,6192.00,4435.00,4167.00,205.00,812.00,3260.00,2272.00,2585.11,1991.01,-548.78,-2297.99,9.00,59.16,334.15,153.99,156.12,149108.91
Triveni Turbine,533655,TRITURBINE,INE152M01016,Electrical Equipment,Heavy Electrical Equipment,606.95,41.36,352.56,18.02,0.03,30.59,10.75,38.40,2.11,188.12,1299.90,0.08,0.11,1296.50,1.52,17.07,1.52,1.82,2039.50,21.66,0.00,2005.84,439.47,81.09,486.00,26.30,459.70,5.68,488.58,34.56,31.80,0.00,1268.10,0.00,39.16,2194.60,1778.30,844.30,441.70,2.60,32.60,489.10,342.10,186.73,143.89,-6.84,-110.81,8.00,66.09,78.28,19.68,37.58,19294.64
United Polyfab,544756,UNITEDPOLY,INE368U01029,Textiles & Apparels,Other Textile Products,33.75,15.11,22.31,7.24,0.90,19.99,0.97,109.41,1.62,4.22,121.70,-0.07,6.18,162.13,2.51,8.47,2.51,1.05,659.93,7.74,0.00,602.22,43.78,1.01,44.79,13.00,31.79,10.53,21.26,0.00,22.95,0.00,98.75,75.50,42.87,270.15,173.91,107.12,51.10,9.98,13.68,42.08,22.31,19.46,16.92,-2.54,-16.77,8.00,58.65,31.36,77.34,26.56,774.61
Usha Martin,517146,USHAMART,INE228A01035,Industrial Products,Iron & Steel Products,472.95,20.18,503.81,12.69,0.07,16.64,15.29,228.57,3.28,34.44,3301.93,0.11,0.49,3298.06,1.20,8.43,1.20,1.90,3691.06,19.10,0.00,3691.06,705.08,45.63,792.47,116.40,676.07,19.63,614.68,-41.76,30.51,0.00,3271.42,331.98,84.73,4211.82,2280.03,695.61,705.08,19.63,116.40,676.07,466.31,655.34,489.30,-366.67,-321.49,8.00,63.63,187.20,190.06,313.16,14412.76
V-Marc India,,VMARCIND,INE0GXK01018,Industrial Products,Cables - Electricals,1089.85,41.38,100.08,11.98,0.74,41.79,40.98,213.66,1.24,3.95,289.52,-0.03,2.13,380.86,2.88,7.06,2.88,0.81,1797.00,11.18,0.00,1797.00,200.85,3.19,204.04,24.54,179.50,45.43,134.07,0.00,24.42,0.00,265.10,160.69,14.29,1024.38,768.84,619.16,200.85,45.43,24.54,179.50,100.08,109.22,16.97,-96.76,-5.17,9.00,85.24,68.76,42.11,77.54,2661.49
Vedanta,500295,VEDL,INE205A01025,Diversified Metals,Diversified Metals,331.05,16.49,8638.28,5.76,0.56,19.01,44.47,27844.00,1.32,7.07,49652.00,0.81,1.11,86191.00,4.36,2.04,4.36,1.28,78437.00,29.56,0.00,78437.00,23183.00,14186.00,24733.00,4810.00,19923.00,2817.00,29742.00,12636.00,391.00,0.00,49261.00,60161.00,31318.00,233237.00,186050.00,140938.00,23183.00,2817.00,4810.00,19923.00,25096.00,39499.00,18747.00,-24338.00,-13549.00,8.00,6.07,66.04,-16.32,22439.00,129453.40
Vinati Organics,524200,VINATIORGA,INE410B01037,Chemicals & Petrochemicals,Specialty Chemicals,1322.80,21.33,487.78,14.17,0.00,16.20,47.05,0.00,5.25,1582.80,3216.61,0.16,0.00,2634.70,1.07,8.81,1.07,3.91,2228.22,30.89,-0.01,2228.22,688.37,52.57,740.94,91.99,648.95,0.41,648.54,0.00,10.37,0.00,3206.24,62.62,0.00,3621.37,1107.24,210.72,688.37,0.41,91.99,648.95,487.78,628.42,491.48,-484.85,-141.08,8.00,87.18,99.20,146.14,85.72,13712.89
