company,report_date,bs_borrowings,bs_capital_work_in_progress,bs_cash_bank,bs_equity_share_capital,bs_face_value,bs_inventory,bs_investments,bs_net_block,bs_no_of_equity_shares,bs_other_assets,bs_other_liabilities,bs_receivables,bs_reserves,bs_total,cf_cash_from_financing_activity,cf_cash_from_investing_activity,cf_cash_from_operating_activity,cf_net_cash_flow,pl_change_in_inventory,pl_depreciation,pl_dividend_amount,pl_employee_cost,pl_interest,pl_net_profit,pl_other_expenses,pl_other_income,pl_other_mfr_exp,pl_power_and_fuel,pl_profit_before_tax,pl_raw_material_cost,pl_sales,pl_selling_and_admin,pl_tax,status_group,source_file,fy,bs_new_bonus_shares
Fiem Industries,2021-03-31,77.26,2.66,110.55,13.16,10.0,116.95,21.01,547.31,13159830.0,351.21,275.58,80.87,556.19,922.19,-57.13,-15.38,135.94,63.43,-12.49,57.23,21.06,165.88,11.64,46.69,14.75,0.01,61.28,39.2,64.95,742.08,1221.16,51.67,18.04,healthy,Fiem Industries.xlsx,2021,
Fiem Industries,2022-03-31,45.67,0.71,68.4,13.16,10.0,184.74,76.76,507.94,13159830.0,463.1,360.61,174.6,629.07,1048.51,-60.61,-73.71,92.25,-42.07,-1.49,59.0,26.32,207.58,8.59,94.16,2.81,2.6,76.71,45.34,128.97,984.59,1572.26,59.78,33.66,healthy,Fiem Industries.xlsx,2022,
Fiem Industries,2023-03-31,23.83,5.35,183.12,13.16,10.0,175.7,0.25,493.62,13159830.0,553.81,268.03,140.8,748.01,1053.03,-54.95,38.77,130.89,114.71,-3.89,63.39,39.48,241.07,7.43,139.83,9.9,10.8,73.89,53.61,188.62,1127.54,1848.06,89.52,48.74,healthy,Fiem Industries.xlsx,2023,
Fiem Industries,2024-03-31,23.11,5.31,206.12,26.32,10.0,204.36,0.14,495.84,26319660.0,717.17,308.43,193.73,860.6,1218.46,-43.13,-68.74,134.88,23.01,6.63,58.65,52.64,290.83,2.94,165.71,3.04,15.97,75.73,61.56,223.06,1249.29,2028.78,86.28,57.24,healthy,Fiem Industries.xlsx,2024,
Fiem Industries,2025-03-31,22.09,20.27,298.44,26.32,10.0,233.48,0.05,553.36,26319660.0,850.08,363.48,242.35,1011.87,1423.76,-55.21,-85.56,233.06,92.29,5.83,64.26,78.96,334.98,1.54,204.92,1.19,19.87,85.63,65.2,276.26,1508.31,2422.61,110.94,71.29,healthy,Fiem Industries.xlsx,2025,
Frontier Springs,2016-03-31,12.78,0.85,1.72,3.96,10.0,15.01,,22.65,3987911.0,28.98,15.69,10.19,20.05,52.48,1.5,-2.53,1.29,0.25,0.47,1.49,,2.77,1.72,0.51,-1.92,0.3,5.81,3.68,1.0,19.98,38.92,5.16,0.49,healthy,Frontier Springs.xlsx,2016,
Frontier Springs,2017-03-31,13.83,0.98,1.91,3.96,10.0,16.01,0.16,26.75,3987911.0,27.53,15.44,7.45,22.19,55.42,-0.41,-5.72,6.32,0.19,1.82,1.66,,3.06,1.89,2.14,-2.19,0.33,6.88,4.66,2.32,23.89,46.53,6.51,0.18,healthy,Frontier Springs.xlsx,2017,
Frontier Springs,2018-03-31,12.33,0.34,1.26,3.96,10.0,14.98,1.68,28.93,3987911.0,28.52,17.43,10.16,25.75,59.47,-2.91,-4.43,6.68,-0.66,-2.61,1.94,,4.05,1.35,3.56,-0.75,0.5,8.29,4.71,5.49,23.96,58.72,7.57,1.93,healthy,Frontier Springs.xlsx,2018,
Frontier Springs,2019-03-31,8.86,0.4,1.26,3.96,10.0,18.4,3.01,29.81,3987911.0,34.57,21.17,11.45,33.8,67.79,-4.86,-3.93,8.8,0.01,1.26,2.22,0.4,5.53,1.16,8.4,-0.01,0.51,12.41,6.3,10.3,37.36,83.22,9.72,1.9,healthy,Frontier Springs.xlsx,2019,
Frontier Springs,2020-03-31,8.87,1.41,2.59,3.96,10.0,16.25,4.66,33.15,3987911.0,38.72,17.75,15.75,47.36,77.94,-1.2,-7.51,10.05,1.33,1.35,2.39,0.44,8.52,1.33,14.02,0.01,0.88,14.82,6.96,17.55,41.73,99.88,8.8,3.52,healthy,Frontier Springs.xlsx,2020,
Frontier Springs,2021-03-31,3.7,0.01,2.96,3.96,10.0,17.24,8.17,34.32,3987911.0,40.89,20.14,17.52,55.59,83.39,-5.67,-4.97,11.0,0.36,-1.38,2.67,,3.36,0.49,7.8,21.44,0.97,4.5,5.0,10.54,28.06,76.96,0.49,2.74,healthy,Frontier Springs.xlsx,2021,
Frontier Springs,2022-03-31,3.37,1.0,1.88,3.96,10.0,20.61,13.33,36.51,3987911.0,41.55,21.59,16.88,63.47,92.39,-1.01,-10.22,10.15,-1.08,3.26,2.85,0.4,3.49,0.28,7.51,22.39,0.98,4.07,5.95,10.08,38.22,83.66,0.57,2.56,healthy,Frontier Springs.xlsx,2022,
Frontier Springs,2023-03-31,4.62,0.8,2.0,3.96,10.0,30.28,15.48,42.02,3987911.0,51.62,30.62,16.22,70.72,109.92,0.52,-10.02,9.62,0.12,3.76,3.2,0.4,3.85,0.33,7.24,24.09,0.64,6.33,7.52,9.77,56.05,107.36,0.62,2.54,healthy,Frontier Springs.xlsx,2023,
Frontier Springs,2024-03-31,3.72,1.59,2.28,3.96,10.0,30.91,17.98,45.14,3987911.0,58.66,30.34,22.17,85.35,123.37,-1.69,-9.6,11.57,0.28,-0.9,3.71,0.59,10.54,0.58,12.99,0.24,0.61,17.94,7.97,17.47,65.74,135.4,10.92,4.48,healthy,Frontier Springs.xlsx,2024,
Frontier Springs,2025-03-31,5.94,1.02,5.2,3.96,10.0,39.68,24.8,56.31,3987911.0,87.22,39.45,38.44,120.0,169.35,1.28,-20.46,22.11,2.92,1.18,4.01,0.71,11.68,0.59,34.66,0.27,0.98,24.64,9.6,46.4,116.45,231.32,19.84,11.74,healthy,Frontier Springs.xlsx,2025,
G S Auto Intl,2016-03-31,42.18,3.33,2.48,7.26,5.0,15.89,0.13,60.21,14514580.0,63.5,41.64,30.4,36.09,127.17,-13.46,-1.21,13.62,-1.05,-2.84,4.98,,29.98,5.76,-0.43,-9.65,0.33,19.15,13.67,-2.59,70.88,153.91,19.22,-2.17,healthy,G S Auto Intl.xlsx,2016,
G S Auto Intl,2017-03-31,44.67,4.33,2.62,7.26,5.0,15.77,0.14,56.43,14514580.0,64.44,43.55,27.13,29.86,125.34,-8.8,-1.67,10.57,0.11,1.56,4.33,,27.2,5.42,-5.85,-2.48,0.21,13.64,10.31,-9.44,56.07,115.67,12.39,-3.59,healthy,G S Auto Intl.xlsx,2017,
G S Auto Intl,2018-03-31,30.11,0.04,2.76,7.26,5.0,18.56,,59.36,14514580.0,64.12,60.09,29.34,26.06,123.52,-12.83,-3.26,16.06,-0.03,1.32,4.71,,27.8,4.69,-3.74,-1.67,1.78,14.0,11.0,-4.3,64.97,128.61,10.51,-0.56,healthy,G S Auto Intl.xlsx,2018,
G S Auto Intl,2019-03-31,28.78,,1.97,7.26,5.0,21.63,,55.09,14514580.0,61.12,54.8,24.59,25.37,116.21,-6.72,-0.8,6.66,-0.86,5.14,4.29,,27.28,4.67,-0.74,-1.62,-0.23,17.37,11.18,-0.89,84.28,151.91,10.26,-0.14,healthy,G S Auto Intl.xlsx,2019,
G S Auto Intl,2020-03-31,28.56,,1.19,7.26,5.0,24.63,,51.02,14514580.0,60.07,52.15,20.69,23.12,111.09,-4.56,0.07,3.99,-0.5,4.94,4.2,,19.03,4.55,-2.65,-1.35,0.9,9.88,6.98,-3.48,41.09,82.07,7.01,-0.83,healthy,G S Auto Intl.xlsx,2020,
G S Auto Intl,2021-03-31,34.74,,1.82,7.26,5.0,28.97,,47.42,14514580.0,61.85,47.48,17.67,19.79,109.27,1.85,-0.3,-0.96,0.58,2.4,4.02,,16.73,4.29,-3.79,-1.57,0.34,10.1,6.71,-3.76,35.28,75.39,6.33,0.03,healthy,G S Auto Intl.xlsx,2021,
G S Auto Intl,2022-03-31,36.94,,1.15,7.26,5.0,28.0,,44.23,14514580.0,57.68,40.82,18.24,16.89,101.91,-1.25,-0.42,0.94,-0.72,-1.24,3.72,,18.26,3.34,-3.13,-2.75,0.27,14.07,7.79,0.33,43.68,97.23,7.82,3.45,healthy,G S Auto Intl.xlsx,2022,
G S Auto Intl,2023-03-31,36.87,0.19,0.98,7.26,5.0,29.0,,41.64,14514580.0,58.29,42.07,15.82,13.92,100.12,-5.02,-1.37,6.36,-0.03,-0.72,3.84,,21.86,4.92,-2.79,-0.61,0.14,19.11,10.99,-4.81,66.44,128.53,6.21,-2.01,healthy,G S Auto Intl.xlsx,2023,
G S Auto Intl,2024-03-31,34.02,0.17,0.94,7.26,5.0,30.92,,39.24,14514580.0,58.9,42.45,14.89,14.58,98.31,-7.62,-1.3,8.91,-0.01,0.56,3.86,,26.07,4.76,0.69,-1.1,0.36,20.38,12.06,1.01,75.63,149.39,7.64,0.32,healthy,G S Auto Intl.xlsx,2024,
G S Auto Intl,2025-03-31,28.14,0.28,0.95,7.26,5.0,31.38,,36.53,14514580.0,60.51,46.11,16.94,15.81,97.32,-10.12,-1.2,11.35,0.03,-0.74,3.94,,25.09,4.15,1.42,-1.17,0.2,16.82,11.12,2.39,72.43,143.53,8.22,0.98,healthy,G S Auto Intl.xlsx,2025,
Him Teknoforg,2016-03-31,11.9,,1.69,0.35,2.0,3.4,,4.95,1750000.0,39.08,5.06,3.97,26.72,44.03,3.83,-9.51,5.75,0.07,0.12,0.29,0.12,2.21,1.38,4.1,,2.96,1.84,0.45,6.17,13.65,25.54,2.63,2.07,healthy,Him Teknoforg.xlsx,2016,
Him Teknoforg,2017-03-31,117.56,14.66,5.86,1.57,2.0,109.38,0.01,115.13,7866016.0,172.45,60.66,39.79,122.46,302.25,17.47,-20.82,3.34,-0.02,5.77,6.57,,26.06,15.9,7.15,-0.99,0.03,20.52,18.92,10.21,127.03,232.73,14.31,3.06,healthy,Him Teknoforg.xlsx,2017,
Him Teknoforg,2018-03-31,114.85,9.44,5.64,1.57,2.0,116.74,0.01,128.41,7866016.0,179.62,68.04,37.97,133.02,317.48,-9.35,-8.56,17.86,-0.05,-0.84,7.35,0.31,33.03,15.79,10.52,-2.03,3.36,22.96,22.31,10.93,142.57,266.55,16.16,0.41,healthy,Him Teknoforg.xlsx,2018,
Him Teknoforg,2019-03-31,125.09,7.57,3.82,1.57,2.0,122.3,0.01,141.8,7866016.0,177.81,55.36,33.41,145.17,327.19,-6.08,-19.38,24.75,-0.7,8.35,8.35,0.78,38.64,17.01,18.3,-1.02,11.87,31.73,26.62,20.94,183.68,322.64,16.91,2.64,healthy,Him Teknoforg.xlsx,2019,
Him Teknoforg,2020-03-31,129.69,0.84,3.38,1.57,2.0,124.8,,153.85,7866016.0,172.16,48.27,27.16,147.32,326.85,-10.96,-13.9,24.89,0.03,-1.22,8.82,0.16,32.03,16.08,3.25,-0.43,4.4,21.0,19.79,4.62,112.07,222.47,11.67,1.39,healthy,Him Teknoforg.xlsx,2020,
Him Teknoforg,2021-03-31,151.09,0.03,2.32,1.57,2.0,138.98,0.01,153.34,7866016.0,197.14,45.35,45.47,152.51,350.52,4.76,-8.1,3.35,0.01,7.06,9.48,0.31,29.16,16.6,5.14,0.22,2.34,23.4,20.46,7.16,131.02,238.58,10.48,2.03,healthy,Him Teknoforg.xlsx,2021,
Him Teknoforg,2022-03-31,150.61,0.51,2.19,1.57,2.0,146.78,0.01,152.04,7866016.0,219.36,58.54,60.2,161.2,371.92,-10.95,-8.67,19.46,-0.16,7.77,9.46,0.31,37.75,17.26,8.83,,5.49,38.8,25.96,12.29,208.55,351.14,14.33,3.47,healthy,Him Teknoforg.xlsx,2022,
Him Teknoforg,2023-03-31,147.73,0.29,2.33,1.57,2.0,153.48,0.01,150.77,7866016.0,228.62,58.79,53.74,171.6,379.69,-12.86,-16.29,29.15,-0.01,6.15,9.36,0.31,42.18,18.02,10.68,-0.92,4.57,42.12,26.61,15.55,245.27,405.16,17.69,4.87,healthy,Him Teknoforg.xlsx,2023,
Him Teknoforg,2024-03-31,149.48,0.46,2.49,1.57,2.0,162.2,0.01,177.51,7866016.0,235.65,84.14,53.09,178.44,413.63,-9.93,-31.96,41.87,-0.02,3.61,9.71,0.31,44.49,18.16,7.11,0.03,2.3,33.03,26.84,9.71,218.54,372.75,18.15,2.6,healthy,Him Teknoforg.xlsx,2024,
Him Teknoforg,2025-03-31,150.31,2.08,2.32,1.89,2.0,166.97,0.01,186.49,9471416.0,264.67,82.55,76.71,218.5,453.25,18.77,-22.79,4.01,-0.01,-1.62,10.53,0.47,49.77,19.62,9.76,-0.38,3.75,37.67,29.93,12.91,224.42,402.22,19.88,3.15,healthy,Him Teknoforg.xlsx,2025,
Hind.Composites,2017-03-31,4.67,0.42,4.33,4.92,10.0,9.03,536.21,123.88,4923000.0,115.87,83.66,26.64,683.13,776.38,-1.14,-7.72,9.67,0.8,0.94,7.71,0.25,24.19,0.2,23.21,9.24,1.09,14.85,8.56,30.33,57.32,166.17,15.8,7.11,healthy,Hind.Composites.xlsx,2017,
Hind.Composites,2018-03-31,4.93,0.12,1.88,7.38,5.0,11.09,605.15,122.42,14769000.0,97.73,87.91,34.52,725.2,825.42,-0.93,-51.72,50.4,-2.26,0.52,8.64,0.74,28.23,0.31,23.01,11.42,0.39,19.4,8.54,25.92,76.79,199.18,20.84,2.92,healthy,Hind.Composites.xlsx,2018,
Hind.Composites,2019-03-31,3.54,,1.23,7.38,5.0,12.3,608.1,125.36,14769000.0,113.3,89.42,34.13,746.42,846.76,-2.51,-1.66,3.43,-0.74,1.08,8.75,2.95,31.92,0.22,17.55,9.53,2.11,19.72,9.9,16.78,84.42,196.61,18.56,-0.77,healthy,Hind.Composites.xlsx,2019,
Hind.Composites,2020-03-31,5.86,0.16,7.09,7.38,5.0,12.57,615.53,122.43,14769000.0,113.08,84.3,33.95,753.66,851.2,-1.47,4.72,2.56,5.82,1.35,9.5,2.95,33.55,0.22,10.47,9.94,0.49,18.81,10.13,8.76,71.32,178.05,17.66,-1.72,healthy,Hind.Composites.xlsx,2020,
Hind.Composites,2021-03-31,0.42,0.16,2.19,7.38,5.0,11.86,686.58,116.09,14769000.0,119.33,104.74,41.38,809.62,922.16,-8.59,0.18,9.18,0.77,-1.86,8.87,2.95,32.59,0.2,19.72,8.1,6.18,18.96,9.74,23.52,71.1,184.59,15.83,3.8,healthy,Hind.Composites.xlsx,2021,
Hind.Composites,2022-03-31,0.3,,2.81,7.38,5.0,13.51,795.95,113.37,14769000.0,93.06,84.82,37.06,909.88,1002.38,-3.07,-12.71,22.42,6.64,0.83,8.56,2.95,36.06,0.08,21.6,10.0,0.14,23.59,11.08,24.72,103.28,232.64,16.24,3.11,healthy,Hind.Composites.xlsx,2022,
Hind.Composites,2023-03-31,1.01,0.29,1.53,7.38,5.0,13.5,807.08,111.06,14769000.0,81.52,78.1,39.34,913.46,999.95,-2.38,-21.01,15.7,-7.69,-0.68,8.73,2.95,38.79,0.13,27.47,9.13,0.55,28.96,13.39,32.6,129.27,282.69,21.56,5.13,healthy,Hind.Composites.xlsx,2023,
Hind.Composites,2024-03-31,0.12,,1.63,7.38,5.0,14.27,872.17,137.5,14769000.0,71.33,94.22,36.99,979.28,1081.0,-3.94,-34.86,40.27,1.47,-0.78,9.53,2.95,39.1,0.09,34.41,9.35,0.21,34.31,12.77,42.6,127.09,297.68,22.27,8.19,healthy,Hind.Composites.xlsx,2024,
Hind.Composites,2025-03-31,0.03,4.29,3.57,7.38,5.0,11.51,962.19,133.87,14769000.0,95.72,111.52,50.99,1077.14,1196.07,-3.12,-17.91,29.86,8.83,0.3,10.33,2.95,41.94,0.08,35.0,10.46,-3.7,36.22,14.14,44.7,139.12,325.08,24.69,9.71,healthy,Hind.Composites.xlsx,2025,
Hind.Composites,2026-03-31,1.68,,2.11,7.38,5.0,20.9,1006.11,150.85,,107.47,117.43,63.15,1137.94,1264.43,-4.1,-29.51,21.13,-12.48,8.79,11.98,7.38,46.8,0.28,31.11,94.18,-2.5,,,40.69,187.37,375.01,,9.58,healthy,Hind.Composites.xlsx,2026,
Indag Rubber,2017-03-31,14.93,0.19,6.8,5.25,2.0,41.42,89.72,49.06,26250000.0,87.33,35.03,29.42,171.09,226.3,8.77,-15.08,8.08,1.78,7.4,3.17,6.3,19.36,1.0,21.87,1.58,6.23,3.77,4.67,31.98,115.29,185.0,17.81,10.04,healthy,Indag Rubber.xlsx,2017,
Indag Rubber,2018-03-31,12.77,0.21,5.99,5.25,2.0,32.79,103.97,46.25,26250000.0,77.98,28.83,28.9,181.56,228.41,-9.71,-7.52,16.51,-0.71,-6.58,3.8,6.3,16.08,2.12,15.77,1.84,7.1,3.2,3.89,21.7,100.83,168.14,15.2,5.89,healthy,Indag Rubber.xlsx,2018,
Indag Rubber,2019-03-31,11.82,0.93,6.5,5.25,2.0,38.1,96.05,43.57,26250000.0,89.08,26.99,34.46,185.57,229.63,-10.47,9.82,0.11,-0.55,3.42,3.89,6.3,17.75,1.83,10.75,2.0,5.08,3.51,3.95,14.14,118.68,173.04,15.79,3.14,healthy,Indag Rubber.xlsx,2019,
Indag Rubber,2020-03-31,10.87,10.11,4.83,5.25,2.0,36.95,79.26,41.43,26250000.0,94.95,27.63,37.64,182.0,225.75,-14.68,2.59,10.46,-1.63,5.46,3.74,6.3,20.6,0.38,13.45,2.19,5.14,4.46,4.48,17.16,126.53,186.77,17.83,3.43,healthy,Indag Rubber.xlsx,2020,
Indag Rubber,2021-03-31,,19.34,3.64,5.25,2.0,35.99,90.96,25.49,26250000.0,100.79,38.87,29.46,192.46,236.58,-4.72,-9.0,15.01,1.29,-6.74,3.29,6.3,20.95,0.43,2.54,1.65,-8.7,4.14,3.91,3.58,100.86,169.84,15.59,0.76,healthy,Indag Rubber.xlsx,2021,
Indag Rubber,2022-03-31,,0.98,2.43,5.25,2.0,39.22,112.4,45.11,26250000.0,75.32,27.26,22.6,201.3,233.81,-6.54,-2.62,8.09,-1.08,1.52,4.18,6.3,20.66,0.29,2.07,1.74,6.72,4.49,3.76,2.51,121.68,166.93,15.86,0.45,healthy,Indag Rubber.xlsx,2022,
Indag Rubber,2024-03-31,10.05,0.23,6.07,5.25,2.0,40.63,121.92,63.86,26250000.0,85.44,35.17,25.67,220.98,271.45,-3.68,-11.2,17.63,2.75,-1.88,5.3,7.88,25.0,0.88,16.15,3.39,9.84,6.92,5.76,20.45,167.46,251.18,23.98,4.87,healthy,Indag Rubber.xlsx,2024,
Indag Rubber,2025-03-31,9.39,0.41,3.18,5.25,2.0,45.83,127.61,60.04,26250000.0,86.37,37.44,25.11,222.35,274.43,-7.18,1.29,3.28,-2.61,1.94,6.62,6.3,28.39,1.15,6.53,1.55,11.81,5.5,5.33,5.95,166.34,228.42,21.34,1.24,healthy,Indag Rubber.xlsx,2025,
India Nipp.Elec,2016-03-31,,2.06,17.61,11.31,10.0,24.92,153.68,49.79,11310712.0,120.8,69.77,60.69,245.25,326.33,-17.23,-13.76,33.02,2.03,2.5,4.18,10.18,40.28,0.13,28.92,2.82,8.77,9.52,5.59,39.67,235.7,335.87,9.25,10.74,healthy,India Nipp.Elec.xlsx,2016,
India Nipp.Elec,2017-03-31,,3.22,10.08,11.31,10.0,22.42,189.18,57.01,11310712.0,112.36,86.36,66.39,264.1,361.77,-6.66,-36.49,41.73,-1.41,-0.76,4.17,11.31,44.73,0.06,29.57,5.35,13.67,11.28,5.49,44.25,233.66,351.09,15.01,14.68,healthy,India Nipp.Elec.xlsx,2017,
India Nipp.Elec,2018-03-31,,6.94,14.36,11.31,5.0,31.27,226.06,63.82,22621424.0,148.29,102.72,93.35,331.08,445.11,-8.24,-16.99,26.66,1.43,2.23,5.97,14.7,53.63,0.07,49.8,-1.57,12.68,14.77,5.88,70.54,299.36,452.39,18.65,20.74,healthy,India Nipp.Elec.xlsx,2018,
India Nipp.Elec,2019-03-31,,6.85,13.83,11.31,5.0,35.34,260.84,66.21,22621424.0,175.78,109.27,103.98,389.1,509.68,-17.81,-16.68,36.31,1.82,0.49,7.73,15.83,60.27,0.08,58.54,-1.09,14.67,16.1,6.51,82.95,342.29,525.21,25.53,24.4,healthy,India Nipp.Elec.xlsx,2019,
India Nipp.Elec,2020-03-31,5.11,13.24,28.42,11.31,5.0,38.68,261.81,81.11,22621424.0,173.3,104.56,88.13,408.48,529.46,-37.51,-6.58,51.69,7.59,-0.29,9.41,15.27,62.79,0.56,54.34,-1.01,26.29,16.9,5.98,71.24,314.31,478.81,24.63,16.91,healthy,India Nipp.Elec.xlsx,2020,
India Nipp.Elec,2021-03-31,4.58,33.87,32.67,11.31,5.0,43.77,260.6,91.46,22621424.0,207.06,137.43,109.4,439.67,592.99,-14.68,-33.54,38.25,-9.97,1.33,10.35,13.57,67.88,0.56,39.63,2.64,16.17,15.64,5.99,50.6,326.26,481.23,18.81,10.98,healthy,India Nipp.Elec.xlsx,2021,
India Nipp.Elec,2022-03-31,3.91,5.09,36.59,11.31,5.0,49.6,278.28,130.13,22621424.0,227.61,132.01,118.06,493.88,641.11,-15.27,28.08,7.05,19.86,1.77,12.85,14.14,69.36,0.49,50.25,2.72,25.29,19.26,6.46,61.54,397.21,566.27,23.44,11.29,healthy,India Nipp.Elec.xlsx,2022,
India Nipp.Elec,2023-03-31,3.65,12.8,22.82,11.31,5.0,56.06,355.02,134.44,22621424.0,215.49,153.77,119.47,549.02,717.75,-21.91,-45.67,56.86,-10.72,3.2,14.62,20.92,81.55,0.42,48.23,0.18,22.56,20.83,8.21,60.42,457.69,656.25,38.09,12.19,healthy,India Nipp.Elec.xlsx,2023,
India Nipp.Elec,2024-03-31,2.94,13.06,18.91,11.31,5.0,69.17,431.86,143.18,22621424.0,248.93,210.84,141.75,611.94,837.03,-24.6,-38.6,62.69,-0.51,0.35,15.09,23.19,89.77,0.39,59.3,-5.74,24.87,20.61,8.62,75.78,499.88,724.08,44.9,16.48,healthy,India Nipp.Elec.xlsx,2024,
India Nipp.Elec,2025-03-31,2.11,3.85,23.65,11.31,5.0,72.21,472.47,154.47,22621424.0,308.09,225.59,169.65,699.87,938.88,-29.75,-12.15,49.56,7.66,4.28,20.56,28.28,100.19,0.39,82.28,-4.41,30.11,25.72,9.93,102.93,577.97,844.83,45.94,20.65,healthy,India Nipp.Elec.xlsx,2025,
Menon Bearings,2006-03-31,23.57,4.36,7.78,4.67,10.0,4.62,0.27,16.7,4670000.0,30.17,13.19,6.94,10.07,51.5,5.15,-7.11,2.41,0.45,0.27,1.76,1.03,2.77,1.27,1.41,0.09,0.73,3.54,1.41,2.98,9.0,24.99,3.17,1.66,healthy,Menon Bearings.xlsx,2006,
Menon Bearings,2007-03-31,26.38,1.15,4.5,4.67,10.0,6.74,0.38,20.81,4670000.0,34.11,15.62,10.72,9.78,56.45,3.32,-3.89,-2.71,-3.28,1.01,2.09,1.17,4.09,2.02,1.08,0.16,0.68,3.28,2.2,2.86,14.5,32.57,3.06,1.67,healthy,Menon Bearings.xlsx,2007,
Menon Bearings,2008-03-31,26.88,1.31,5.8,4.67,10.0,7.39,0.26,22.84,4670000.0,38.25,20.75,12.6,10.36,62.66,-3.48,-3.83,8.61,1.3,0.76,1.75,1.17,5.49,2.68,1.95,0.4,0.96,3.24,2.96,3.78,17.56,38.76,2.62,1.75,healthy,Menon Bearings.xlsx,2008,
Menon Bearings,2023-03-31,14.65,8.3,13.17,5.6,1.0,21.64,1.29,76.45,56040000.0,87.49,25.56,49.71,127.72,173.53,-22.76,-22.95,50.09,4.38,0.8,7.92,11.2,17.42,2.91,32.6,1.13,0.39,34.38,16.74,42.5,88.33,219.36,9.22,9.91,healthy,Menon Bearings.xlsx,2023,
Menon Bearings,2024-03-31,34.49,14.12,26.0,5.6,1.0,22.84,3.69,80.25,56040000.0,108.89,27.56,54.94,139.3,206.95,3.98,-19.48,28.33,12.84,1.16,8.71,12.6,19.14,3.27,24.36,0.9,1.8,38.36,17.5,33.14,82.8,212.62,11.76,8.78,healthy,Menon Bearings.xlsx,2024,
Menon Bearings,2025-03-31,42.84,9.1,20.0,5.6,1.0,27.11,5.3,102.46,56040000.0,113.72,29.19,60.63,152.95,230.58,-6.63,-26.42,27.05,-6.01,3.0,8.81,11.2,21.39,3.76,24.93,1.04,1.25,42.26,20.9,33.84,101.18,242.52,13.59,8.91,healthy,Menon Bearings.xlsx,2025,
Menon Bearings,2026-03-31,46.63,0.09,12.6,5.6,1.0,30.99,6.37,119.4,,141.66,35.55,90.77,179.74,267.52,-12.49,-18.23,23.32,-7.4,2.82,9.98,,46.0,5.08,38.25,67.67,6.43,,,50.15,124.18,293.81,,11.9,healthy,Menon Bearings.xlsx,2026,
MRF,2017-03-31,2332.84,847.93,342.61,4.24,10.0,2425.27,3382.1,5502.24,4241143.0,5315.89,4074.56,1969.0,8636.52,15048.16,-437.62,-1392.7,1955.72,125.4,227.71,610.58,25.44,1000.55,256.58,1486.22,177.57,327.49,639.8,580.94,2109.37,7722.8,13411.98,868.99,623.15,healthy,MRF.xlsx,2017,
MRF,2018-03-31,2162.9,1078.91,232.9,4.24,10.0,2197.33,4145.0,6092.17,4241143.0,5162.14,4577.13,2149.93,9733.95,16478.22,-452.58,-2013.88,2412.98,-53.48,-77.61,706.72,25.44,1092.55,258.74,1131.61,166.98,329.68,697.33,638.23,1652.65,9031.34,14953.71,961.24,521.04,healthy,MRF.xlsx,2018,
MRF,2019-03-31,2506.31,1403.47,104.5,4.24,10.0,2993.2,3854.68,6786.0,4241143.0,6397.05,5097.54,2382.71,10833.11,18441.2,42.19,-1386.15,1252.85,-91.11,613.83,807.6,25.44,1165.48,273.4,1130.6,204.63,415.83,827.7,763.53,1652.18,10323.17,16061.72,1073.69,521.57,healthy,MRF.xlsx,2019,
MRF,2020-03-31,1854.14,1740.94,1181.14,4.24,10.0,2905.18,1519.33,8869.76,4241143.0,7312.31,5373.49,2299.4,12210.47,19442.34,-1032.35,-162.31,2271.23,1076.57,-17.4,982.32,42.4,1345.13,300.83,1422.56,267.2,335.38,838.44,721.56,1434.25,9599.63,16237.38,1066.0,11.68,healthy,MRF.xlsx,2020,
MRF,2021-03-31,2388.23,1002.23,169.39,4.24,10.0,2938.81,5874.02,9440.75,4241143.0,6264.86,6779.96,2145.96,13409.43,22581.86,-249.68,-5086.57,4324.58,-1011.67,-354.25,1140.77,63.6,1415.26,281.64,1277.06,225.13,205.03,723.67,655.2,1736.84,8968.25,16162.49,866.51,459.77,healthy,MRF.xlsx,2021,
MRF,2022-03-31,3228.95,1233.07,256.13,4.24,10.0,4129.67,3656.46,9521.82,4241143.0,8648.39,5799.04,2332.68,14027.51,23059.74,423.74,168.73,-578.01,14.46,856.15,1205.05,63.6,1502.19,262.8,669.23,212.2,314.79,915.29,931.94,907.93,13436.89,19316.65,1113.3,238.69,healthy,MRF.xlsx,2022,
MRF,2023-03-31,3013.61,3045.86,258.49,4.24,10.0,4141.05,3085.11,10117.97,4241143.0,8120.47,6648.14,2503.27,14703.42,24369.41,-839.54,-1921.81,2755.47,-5.88,346.91,1253.04,74.2,1595.65,326.45,768.93,233.65,245.02,958.08,1136.03,1069.72,15786.49,23008.33,1241.15,300.78,healthy,MRF.xlsx,2023,
MRF,2024-03-31,2821.5,2384.53,345.38,4.24,10.0,4468.58,3382.97,12046.22,4241143.0,9035.71,7324.94,2911.96,16698.75,26849.43,-868.22,-2380.58,3303.36,54.56,184.32,1429.97,84.8,1798.47,361.03,2081.22,250.31,306.16,1066.43,1148.65,2787.42,15265.35,25168.73,1551.58,706.19,healthy,MRF.xlsx,2024,
