company,report_date,bs_borrowings,bs_capital_work_in_progress,bs_cash_bank,bs_equity_share_capital,bs_face_value,bs_inventory,bs_investments,bs_net_block,bs_no_of_equity_shares,bs_other_assets,bs_other_liabilities,bs_receivables,bs_reserves,bs_total,cf_cash_from_financing_activity,cf_cash_from_investing_activity,cf_cash_from_operating_activity,cf_net_cash_flow,pl_change_in_inventory,pl_depreciation,pl_dividend_amount,pl_employee_cost,pl_interest,pl_net_profit,pl_other_expenses,pl_other_income,pl_other_mfr_exp,pl_power_and_fuel,pl_profit_before_tax,pl_raw_material_cost,pl_sales,pl_selling_and_admin,pl_tax,status_group,source_file,fy,bs_new_bonus_shares
Bharat Gears,2020-03-31,151.61,2.17,7.2,9.31,10.0,78.15,,149.54,9306095.0,222.43,142.95,102.19,70.27,374.14,-19.91,-29.48,53.56,4.17,-15.97,26.69,,89.8,21.65,-18.78,11.22,4.82,59.93,33.83,-24.83,222.45,463.12,11.23,-6.05,distressed,Bharat Gears.xlsx,2020,
Bharat Gears,2021-03-31,118.09,1.32,5.67,9.31,10.0,90.39,,133.58,9306095.0,248.73,191.72,106.27,64.51,383.63,-56.71,-2.25,59.03,0.08,7.03,24.15,,82.47,22.67,-7.7,10.1,1.33,75.95,34.01,-9.65,255.99,503.03,15.7,-1.95,distressed,Bharat Gears.xlsx,2021,
Bharat Gears,2022-03-31,106.6,1.14,9.36,10.24,10.0,90.46,,117.86,10236700.0,284.55,188.75,144.28,97.96,403.55,-32.22,-5.0,30.28,-6.95,4.41,20.39,,107.14,18.42,25.84,11.68,7.13,108.99,48.78,34.07,375.3,729.44,16.21,8.23,distressed,Bharat Gears.xlsx,2022,
Bharat Gears,2023-03-31,115.92,1.91,6.6,15.36,10.0,99.97,1.11,131.96,15355100.0,272.21,170.71,122.53,105.2,407.19,-2.8,-26.33,41.96,12.83,7.56,20.07,,115.76,17.08,13.48,12.3,8.57,113.04,55.33,17.59,416.42,766.37,14.91,4.11,distressed,Bharat Gears.xlsx,2023,5118353.0
Bharat Gears,2024-03-31,113.37,5.2,9.08,15.36,10.0,82.02,1.2,132.55,15355100.0,246.54,161.52,116.19,95.24,385.49,-37.45,-13.22,46.6,-4.08,-14.49,22.55,,114.05,17.48,-9.74,14.07,3.48,91.25,48.05,-12.88,342.51,663.05,14.96,-3.14,distressed,Bharat Gears.xlsx,2024,
Bharat Gears,2025-03-31,79.67,2.34,9.34,15.36,10.0,93.21,1.3,128.47,15355100.0,232.29,171.84,96.87,97.53,364.4,-51.04,2.21,48.97,0.14,11.37,23.63,,119.39,17.08,3.19,12.74,19.33,81.16,47.69,3.94,354.48,647.53,18.12,0.75,distressed,Bharat Gears.xlsx,2025,
Bharat Seats,2017-03-31,62.65,0.47,1.16,6.28,2.0,15.38,,145.76,31400000.0,118.54,139.98,94.16,55.86,264.77,-21.65,-16.64,38.46,0.17,-0.38,17.1,2.83,20.8,4.47,12.17,7.14,1.19,20.66,9.76,16.82,734.51,840.4,9.95,4.64,distressed,Bharat Seats.xlsx,2017,
Bharat Seats,2018-03-31,25.42,13.16,3.11,6.28,2.0,27.38,,136.31,31400000.0,135.05,172.34,93.78,80.48,284.52,-43.83,-22.52,68.52,2.18,0.17,19.11,3.14,25.08,3.2,28.22,8.74,0.79,26.5,11.85,43.5,822.51,970.28,10.75,15.28,distressed,Bharat Seats.xlsx,2018,
Bharat Seats,2019-03-31,28.55,0.43,10.03,6.28,2.0,21.89,,151.74,31400000.0,120.64,139.7,77.81,98.28,272.81,-3.65,-23.87,34.68,7.16,1.08,20.61,3.14,31.39,3.02,21.42,9.95,4.59,37.61,13.86,31.23,747.36,903.57,14.21,9.81,distressed,Bharat Seats.xlsx,2019,
Bharat Seats,2020-03-31,39.8,22.12,1.21,6.28,2.0,20.57,,150.3,31400000.0,69.29,88.6,36.09,107.03,241.71,-2.6,-33.89,27.66,-8.83,-0.86,22.46,1.57,31.67,3.22,12.52,9.18,1.99,28.77,9.34,12.22,459.99,588.57,12.85,-0.3,distressed,Bharat Seats.xlsx,2020,
