Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
Sutlej Textiles,532782,SUTLEJTEX,INE645H01027,Textiles & Apparels,Other Textile Products,38.90,-2.84,-78.95,-3.50,0.98,-7.84,-4.93,825.46,-3.94,27.72,1.21,-0.88,0.25,7.72,844.96,-0.88,-0.61,-12.07,1141.00,2.32,2.44,9.80,-41.24,0.00,2.32,0.58,2560.97,1.28,0.00,2676.76,42.86,21.77,60.31,111.21,-50.90,63.42,-110.00,4.32,16.38,0.00,828.58,875.97,2.71,1962.63,905.58,746.46,32.66,64.61,109.63,-57.17,-80.72,66.03,6.44,-25.03,-31.96,647.13
Suyog Telematics,537259,SUYOG,INE442P01014,Telecom - Services,Telecom - Infrastructure,772.85,13.67,34.36,6.90,0.54,11.61,30.06,234.91,6.51,8.77,1.92,3.69,4.38,-32.00,434.65,3.69,0.01,5.79,580.72,1.47,3.56,12.73,62.21,4.94,1.47,1.85,206.52,60.38,0.00,192.57,110.13,8.95,119.08,46.51,72.57,16.57,56.00,0.00,11.72,0.00,422.93,119.26,93.52,734.72,197.76,103.00,124.69,19.86,55.92,73.36,34.36,71.06,-59.00,-145.99,96.04,904.55
Suzlon Energy,532667,SUZLON,INE040H01021,Electrical Equipment,Heavy Electrical Equipment,56.93,32.52,3231.26,20.63,0.05,41.44,2.38,397.00,3.31,26.89,1.61,6.20,5.16,220.55,7860.79,6.20,0.04,0.19,6343.38,1.65,10.32,70.96,174.01,0.00,1.65,1.01,15028.53,18.31,0.00,10889.74,1863.44,97.18,1966.42,259.19,1707.23,254.80,1446.63,-5.80,2744.51,0.00,5116.28,265.39,57.78,15855.64,11305.41,7024.75,2751.86,411.71,318.22,2551.43,3230.02,1091.96,723.54,-748.98,343.01,77482.52
Swan Corp,503310,SWANCORP,INE665A01038,Chemicals & Petrochemicals,Petrochemicals,339.15,-1.44,-11.42,-2.73,0.34,-4.47,-0.39,2543.21,0.92,51.41,2.24,1.30,2.44,-12.59,7396.67,1.30,-0.10,2.91,10836.77,1.75,2.63,-20.07,-1075.62,0.42,1.75,1.58,4357.29,1.63,0.00,4937.87,-141.35,1944.05,-20.27,147.29,-167.56,185.67,1469.74,1822.97,31.35,0.00,7365.32,1833.56,989.93,13593.35,5628.61,2507.86,70.95,84.33,122.35,109.52,-2.41,-528.86,1311.45,1345.52,-559.76,10616.35
Swaraj Engines,500407,SWARAJENG,INE277A01016,Industrial Products,"Compressors, Pumps & Diesel Engines",3981.00,58.72,198.82,27.40,0.00,43.79,161.57,0.60,5.68,16.28,2.06,685.56,2.41,48.76,488.92,685.56,0.11,0.00,456.79,1.48,14.99,41.54,88.72,68.08,1.48,1.79,2007.13,13.56,-0.01,2007.13,272.12,14.30,289.82,22.45,267.37,0.39,263.58,-3.40,12.15,0.00,476.77,0.00,1.99,778.83,574.21,279.12,272.12,0.39,22.45,267.37,196.31,116.52,47.21,22.09,-127.91,4840.37
Swaraj Suiting,,SWARAJ,INE0GMR01016,Textiles & Apparels,Other Textile Products,290.50,18.08,41.37,7.21,1.94,25.65,18.79,332.32,7.92,10.54,1.27,2.77,1.61,-14.35,171.52,2.77,-0.37,9.93,368.30,3.02,3.50,18.05,66.51,0.00,3.02,0.44,459.23,21.91,-10.02,416.57,73.22,1.80,74.94,11.36,63.58,19.06,44.60,0.08,22.02,0.00,149.50,264.09,3.75,642.19,334.14,262.39,100.63,30.60,16.77,84.66,41.37,40.86,-99.30,-127.33,86.89,737.57
Swelect Energy,532051,SWELECTES,INE409B01013,Electrical Equipment,Heavy Electrical Equipment,658.65,5.06,55.02,0.32,0.75,0.58,35.50,665.59,9.59,7.80,1.75,2.35,1.48,-46.45,893.40,2.35,0.11,47.61,1227.55,1.99,2.50,7.68,95.55,36.10,1.99,1.41,673.52,21.46,0.00,621.67,96.86,46.94,117.24,43.17,74.07,57.03,43.60,26.56,15.16,0.00,878.24,549.10,78.57,1778.65,879.07,501.28,144.53,59.67,47.29,139.99,55.47,130.09,-6.91,-112.85,19.44,999.41
Swiggy,544285,SWIGGY,INE00H001014,Retailing,E-Retail/ E-Commerce,286.20,-29.22,-4425.00,-24.15,0.25,-254.95,-17.77,2491.00,-5.33,-25.40,2.65,-24.14,3.74,-26.97,9825.00,-24.14,-0.04,-0.80,11005.00,1.26,9.82,-36.38,-74.82,0.00,1.26,2.63,21080.00,-16.61,0.00,15226.76,-2788.40,384.47,-2394.54,612.28,-3006.82,100.59,-3116.80,-9.39,260.00,0.00,9565.00,0.00,1702.95,15792.00,10638.00,4020.00,-3501.00,176.00,1111.00,-4249.00,-4435.00,-2169.47,-2912.81,-1372.44,3903.37,78931.44
Swiss Military,523558,,INE010C01025,Consumer Durables,Diversified consumer products,17.32,11.80,8.96,7.39,0.13,9.45,0.37,16.54,3.38,28.69,3.77,9.65,1.66,-19.93,131.32,9.65,-0.03,1.80,119.15,1.00,6.94,-126.23,191.12,0.00,1.00,2.72,246.76,5.03,-0.06,212.67,10.80,1.98,13.02,0.31,12.71,0.41,12.06,-0.24,47.18,0.00,84.14,16.91,0.11,176.66,108.60,28.79,12.42,1.41,0.44,13.61,8.73,-3.24,-39.88,-35.70,38.75,408.99
Symphony,517385,SYMPHONY,INE225D01027,Consumer Durables,Household Appliances,854.60,36.80,163.56,19.29,0.01,32.36,23.30,5.00,3.79,25.37,1.66,,6.03,34.77,783.00,,0.17,0.02,499.00,1.66,8.95,22.70,240.17,42.00,1.66,1.46,974.00,18.28,0.00,1575.70,312.04,1.04,357.32,22.24,335.08,11.25,279.59,-44.24,14.00,0.00,769.00,53.67,88.00,1417.00,1020.00,615.00,178.00,0.00,9.00,222.00,160.00,258.81,236.61,-41.27,-223.87,5874.58
