Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,177.90,19.16,64.82,9.83,0.36,16.34,18.26,163.37,14.16,5.89,1.78,5.77,0.68,43.78,455.06,5.77,0.08,2.61,476.88,1.52,4.19,19.70,41.40,7.07,1.52,1.07,920.21,13.02,0.00,912.83,116.93,2.19,121.16,18.26,102.90,18.16,82.70,-2.04,17.64,0.00,437.42,82.32,39.05,741.76,395.66,222.02,119.80,18.00,20.32,103.84,64.31,31.79,-43.53,-63.26,14.02,626.32
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1042.20,12.13,1216.17,5.18,1.62,14.39,29.94,15931.31,4.70,20.13,2.69,2.45,9.71,-21.01,9835.55,2.45,-0.22,13.10,5923.04,2.39,3.57,-14.50,146.69,0.00,2.39,2.69,4361.62,62.06,-0.01,4361.62,2706.70,115.64,2822.34,155.22,2667.12,1090.24,1576.88,0.00,40.61,0.00,9794.94,8233.88,2926.32,27201.35,3109.49,1155.90,2706.70,1090.24,155.22,2667.12,1216.17,-2921.05,-3016.56,-1613.27,4357.00,42354.28
3B Blackbio,532067,3BBLACKBIO,INE994E01018,Healthcare Services,Healthcare Service Provider,1296.00,25.75,57.43,17.53,0.00,19.40,66.91,0.27,7.19,13.60,6.25,416.89,8.63,38.36,298.22,416.89,0.33,0.01,154.50,1.01,8.04,25.67,51.21,7.19,1.01,5.37,128.98,43.57,-0.34,96.47,50.11,15.08,65.16,1.09,64.07,0.11,63.99,0.03,8.57,0.00,289.65,0.00,0.31,340.83,163.39,26.14,56.20,0.18,1.52,75.04,58.17,43.36,42.46,-33.45,-3.22,1112.90
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,17.65,4.94,58.50,4.06,0.11,8.28,2.66,34.79,14.83,4.79,1.33,12.51,0.52,81.65,364.29,12.51,0.34,1.37,291.39,2.00,3.60,12.95,65.92,0.00,2.00,1.33,704.58,0.00,0.00,725.76,23.76,23.22,46.28,27.78,18.50,7.59,11.61,0.70,207.40,0.00,156.89,32.33,31.18,570.48,273.92,206.45,-0.02,4.23,21.26,52.90,54.74,28.25,29.61,3.19,-25.91,365.86
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,33663.85,38.17,327.63,15.20,0.06,23.85,335.86,103.32,2.53,37.23,2.28,23.15,7.76,89.31,1610.44,23.15,0.06,0.22,1595.61,1.70,27.23,106.85,-336.45,126.65,1.70,1.57,4888.74,19.54,0.00,4445.56,769.68,70.19,839.95,55.29,784.66,11.18,773.40,-0.08,11.27,0.00,1599.17,0.00,99.54,2658.09,2077.56,910.91,955.02,40.85,59.78,945.51,378.35,355.10,300.22,321.96,-788.57,37941.26
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,341.00,13.55,43.30,3.67,0.46,11.89,9.23,290.55,14.50,6.30,1.64,3.03,5.23,-645.74,627.08,3.03,0.62,4.27,547.29,3.07,2.66,16.31,129.92,0.00,3.07,1.64,305.41,31.52,3.72,359.66,127.34,0.01,127.34,12.22,115.12,23.98,91.15,0.01,31.24,0.00,595.84,217.42,0.00,1752.40,1363.57,833.40,96.25,28.66,9.68,86.79,43.30,98.00,90.63,-7.08,-141.49,1598.00
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7434.00,29.93,1669.68,12.83,0.01,22.39,78.73,84.82,1.48,63.33,2.05,113.21,11.93,144.68,7835.99,113.21,0.06,0.05,7327.43,1.66,21.33,129.20,362.79,50.01,1.66,1.69,13202.73,15.49,0.00,13202.73,2044.90,349.32,2397.26,145.53,2251.73,19.89,2228.80,-3.04,42.38,0.00,7793.61,0.00,84.82,13638.48,11749.70,5733.45,2044.90,19.89,145.53,2251.73,1668.26,1219.52,979.89,363.65,-966.23,157564.93
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,16.00,18.43,20.33,8.18,0.29,17.30,0.31,45.84,3.56,24.81,2.21,3.98,4.23,-66.07,157.22,3.98,-0.01,2.84,157.34,1.84,8.39,-43.75,168.63,1.65,1.84,1.27,244.02,15.79,0.00,207.95,33.03,1.11,34.80,5.41,29.39,6.87,21.86,-0.66,63.88,0.00,93.34,85.46,0.39,283.90,219.41,99.22,38.54,9.21,5.04,36.66,20.10,-23.59,-27.84,-3.17,50.19,1031.99
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,105.84,,176.66,,2.67,9.78,,3496.03,3.68,11.74,0.95,1.63,1.58,,1310.31,1.63,,58.66,3306.54,,3.52,11.28,128.46,0.00,,0.49,8163.81,15.93,0.00,7829.96,1223.23,-20.62,1293.87,705.73,588.14,413.47,83.41,-91.26,1220.29,0.55,90.02,100.97,2830.93,9187.45,5049.11,5310.28,1300.37,367.60,786.50,597.70,145.16,1144.17,900.64,139.30,-1230.41,12911.87
A B Real Estate,500040,ABREL,INE055A01016,Realty,"Residential, Commercial Projects",1470.70,-0.16,-207.75,-0.68,1.45,-2.45,-21.94,5489.91,-1.20,-112.58,1.66,-4.57,22.80,-30.42,3779.42,-4.57,-0.24,-34.87,7226.86,3.51,2.23,-12.68,-200.23,-13.85,3.51,0.58,719.33,-33.01,0.00,1218.88,16.06,-94.22,51.39,63.79,-12.40,45.75,-187.70,-129.55,111.69,0.00,3667.73,2948.87,2047.67,17184.07,14572.58,8803.99,-237.42,55.30,64.83,-252.83,-255.41,-1293.44,-1413.44,-437.95,2218.43,16400.98
A C J K Exports,544743,AMIRCHAND,INE05TO01019,Agricultural Food & other Products,Other Agricultural Products,136.49,14.02,59.97,4.23,2.07,17.37,7.41,784.06,7.25,13.21,1.24,2.00,0.71,27.04,379.18,2.00,-0.43,12.89,381.98,3.74,3.65,14.88,40.73,0.00,3.74,0.45,1997.25,8.19,,1997.25,163.65,2.38,164.90,7.03,157.87,78.78,80.22,1.13,82.04,0.00,297.14,1.57,782.49,1549.03,1449.60,1164.52,163.65,78.78,7.03,157.87,60.82,94.96,93.30,-0.04,-93.30,1413.05
A-1,542012,,INE911Z01025,Chemicals & Petrochemicals,Trading - Chemicals,11.39,10.63,2.47,5.64,0.35,7.82,0.05,17.06,0.89,68.82,2.73,3.48,1.71,107.22,83.12,3.48,0.00,4.67,43.15,1.36,19.31,-49.76,545.77,47.26,1.36,2.62,307.26,2.43,0.00,331.49,10.07,0.17,10.48,3.59,6.89,1.66,4.99,-0.24,46.00,0.00,37.12,21.50,0.00,68.20,51.15,18.75,7.48,1.39,3.02,4.84,2.47,-10.53,-11.77,0.97,7.38,523.94
A.K.Capital Serv,530499,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1536.05,8.48,103.94,2.17,3.22,8.97,157.48,3264.27,8.86,10.96,12.11,1.58,1.83,-12.66,1014.30,1.58,-0.62,37.46,701.38,4.14,1.28,-2.13,40.57,29.60,4.14,12.11,553.92,69.54,0.07,481.57,341.03,2.52,343.55,10.26,333.29,223.51,109.78,0.00,6.60,0.00,1007.70,3060.13,87.67,4388.46,689.55,56.96,385.17,239.37,9.87,377.89,107.71,-477.57,-480.17,162.55,319.38,1015.49
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,17.00,13.78,13.85,0.55,2.07,28.93,0.14,91.30,9.47,9.27,0.79,4.93,0.77,4.84,44.18,4.93,0.20,88.64,-8.68,13.08,1.93,5.43,151.82,0.00,13.08,0.79,384.86,5.44,0.00,336.27,6.66,16.27,28.15,4.93,23.22,7.96,10.04,-5.22,176.12,0.00,-131.94,66.32,25.30,483.86,327.62,413.01,20.93,7.36,4.88,36.28,-0.14,54.21,50.99,-12.43,-39.24,294.54
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,495.00,11.42,1042.24,4.31,2.55,16.86,23.80,17605.53,7.17,13.82,3.99,2.00,6.12,-9.55,6895.17,2.00,-0.97,19.31,1747.10,3.32,2.33,-7.11,73.32,0.00,3.32,3.99,3520.63,76.56,-10.29,3107.63,2371.26,1.01,2372.54,25.24,2347.30,1173.77,1173.26,-0.27,433.80,0.00,6461.37,16262.65,59.77,25083.49,2190.82,549.07,2695.55,1335.77,27.87,2675.26,1029.80,-3026.65,-3041.24,159.53,3389.23,21529.84
Aarey Drugs,524412,AAREYDRUGS,INE198H01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,92.38,6.38,3.43,1.35,0.34,2.96,1.21,50.78,3.37,24.10,1.79,2.27,0.67,-846.32,148.85,2.27,-0.15,12.63,138.60,2.14,4.04,25.46,460.07,0.00,2.14,1.52,390.90,-0.35,-1.35,473.93,2.90,9.81,12.71,1.94,10.77,4.66,6.11,0.00,28.45,0.00,120.40,33.73,1.13,294.00,256.36,142.85,-1.37,4.52,2.42,10.27,3.43,10.30,5.10,-5.94,-4.48,262.24
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,382.70,13.09,202.59,6.71,0.39,12.69,22.20,573.49,6.08,13.08,1.68,7.10,1.39,62.06,1468.30,7.10,0.02,3.41,1787.03,1.83,4.45,14.29,86.18,5.43,1.83,1.08,2521.77,12.16,0.00,2387.03,290.23,16.36,306.59,55.78,250.81,39.04,211.77,0.00,91.27,0.00,1377.03,496.27,118.81,2612.27,1312.40,782.85,306.72,34.71,63.81,246.41,202.45,244.58,67.47,-164.63,-82.12,3493.86
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,488.80,6.32,371.00,3.10,0.70,6.03,10.43,3973.00,2.91,19.68,0.78,2.14,2.21,-220.64,5712.00,2.14,-0.02,12.01,7310.00,1.89,3.88,14.29,119.88,10.96,1.89,0.47,8042.00,13.50,-0.05,7271.32,1000.45,16.49,1014.30,434.27,580.03,275.44,307.23,2.64,181.00,0.00,5531.00,3737.81,109.98,11702.00,3112.00,3984.00,1086.00,293.00,468.00,627.00,378.00,1241.94,-136.93,-1397.67,-73.17,17742.37
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,717.00,17.44,215.85,9.93,0.32,14.54,23.58,658.78,4.55,16.91,1.64,8.77,3.61,546.49,2046.21,8.77,0.00,2.42,2191.16,1.38,5.13,19.60,129.73,16.64,1.38,0.87,1800.57,23.07,-0.02,2115.07,464.37,10.12,474.48,86.90,387.58,26.90,360.69,0.01,45.32,0.00,2000.89,396.35,16.76,3265.90,1326.30,810.62,415.46,36.62,99.00,321.05,213.72,331.56,-112.32,-413.90,65.44,6498.29
Aarti Surfactant,543210,AARTISURF,INE09EO01013,Chemicals & Petrochemicals,Specialty Chemicals,404.50,8.50,17.88,2.58,0.50,5.14,21.14,118.19,8.02,8.41,1.36,2.96,0.43,25.67,236.74,2.96,-0.08,8.13,295.79,1.93,3.85,30.81,93.77,5.83,1.93,0.58,804.91,6.63,-0.01,659.09,41.92,7.68,45.40,17.35,28.05,11.55,20.70,4.20,8.47,22.33,228.27,86.41,1.66,490.20,249.74,184.11,53.35,12.50,17.64,36.99,17.88,11.14,-9.10,-16.16,-0.37,343.20
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1389.40,10.09,626.89,3.27,3.08,14.11,79.19,14412.64,8.05,12.18,10.40,1.74,4.23,-5.82,4679.87,1.74,-1.59,25.10,2310.40,4.03,1.83,-6.64,64.79,0.00,4.03,10.40,2604.99,73.99,-0.07,2354.51,1772.60,3.91,1776.03,36.45,1739.58,1007.47,732.59,0.48,79.16,0.00,4600.71,13438.90,479.57,19441.04,2382.62,229.16,1927.47,1086.11,40.95,1889.02,626.89,-1660.13,-1688.19,176.23,1474.66,11016.71
AB Cotspin,544522,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,248.95,10.23,13.19,4.11,0.93,11.16,6.29,137.39,4.32,16.28,1.92,2.72,1.96,-9.89,147.57,2.72,-0.32,13.75,181.54,2.20,5.10,-32.95,160.66,0.00,2.20,1.05,279.41,13.62,0.00,298.06,29.92,2.73,32.65,8.79,23.86,10.40,13.46,0.00,22.16,0.00,125.41,164.26,1.53,303.95,164.32,85.78,38.05,10.81,12.44,29.43,13.19,-16.58,-66.62,-49.48,66.03,546.26
Abans Financial,543712,AFSL,INE00ZE01026,Finance,Holding Company,203.05,9.71,128.55,3.64,0.62,10.17,25.40,734.81,14.49,6.85,1.52,4.32,0.06,25.39,1181.60,4.32,0.88,6.77,1279.84,2.77,5.85,-8.76,32.46,0.00,2.77,1.50,16283.26,1.17,0.00,3281.03,190.36,2.12,192.48,1.15,191.33,58.98,132.35,0.00,10.13,0.00,1171.47,764.33,70.15,3716.10,3660.13,2402.83,190.21,45.01,1.45,194.63,138.84,-118.76,-121.10,155.95,-149.52,1040.80
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,25452.60,46.25,1524.13,25.47,0.05,35.68,717.26,182.45,3.88,24.88,2.75,90.19,7.92,54.25,4010.91,90.19,0.08,0.13,2818.94,1.31,19.08,53.41,143.76,71.36,1.31,2.09,6824.13,26.96,0.00,6409.15,1695.25,274.93,1970.83,71.80,1899.03,11.43,1886.95,-0.65,21.25,0.00,3989.66,0.00,196.67,5694.47,3896.14,1414.33,1839.77,22.77,74.82,2053.52,1524.13,1011.84,959.76,182.18,-925.17,54047.18
ABM Knowledge,531161,ABMKNO,INE850B01026,IT - Software,Software Products,231.50,9.55,11.38,6.28,0.00,6.27,5.69,0.00,4.12,19.59,8.47,64.82,4.48,54.53,237.61,64.82,0.39,0.00,211.47,1.16,5.12,19.38,238.86,17.79,1.16,8.47,102.31,13.94,0.00,96.66,17.96,8.18,26.03,3.72,22.31,0.34,22.08,0.11,10.00,0.00,227.61,0.00,0.00,277.12,179.06,21.15,14.26,0.28,4.11,18.15,12.67,23.67,18.72,-14.63,-2.78,458.62
ABS Marine,,ABSMARINE,INE0QRV01016,Transport Services,Shipping,231.30,14.20,50.22,8.81,1.34,15.56,20.46,350.71,8.27,9.61,1.84,4.72,2.41,-23.70,261.58,4.72,-0.27,12.87,569.37,1.34,2.75,12.65,18.32,0.00,1.34,1.84,235.84,37.27,0.16,179.85,50.18,4.46,54.54,12.57,41.97,5.56,36.51,0.10,24.55,0.00,237.03,138.69,39.71,666.05,142.63,77.68,87.89,15.83,19.28,74.65,50.49,44.89,-69.03,-234.56,192.53,567.84
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1444.90,17.44,2516.29,9.46,0.02,13.23,141.11,485.44,9.54,7.38,2.02,26.37,1.10,-44.94,19933.35,26.37,0.24,0.20,18469.14,1.31,4.19,15.87,71.97,5.87,1.31,1.63,24689.33,12.77,0.00,21762.31,3061.36,1174.95,4112.95,1001.31,3111.64,108.22,3126.78,123.36,187.99,0.00,19745.36,0.00,429.77,26501.24,10396.97,5154.63,3153.91,98.58,1103.76,2599.90,2649.97,1711.48,-241.65,-1262.48,-1002.26,27155.49
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1183.00,53.61,113.30,29.61,0.33,45.47,72.19,86.86,9.23,8.81,1.90,25.98,3.28,13.34,262.83,25.98,0.25,0.67,273.92,1.55,9.58,12.20,90.46,104.15,1.55,1.90,537.54,35.49,0.00,528.72,194.38,11.67,203.87,28.03,175.84,3.42,174.60,2.18,14.93,0.00,247.90,0.00,62.03,461.56,274.61,144.26,190.75,6.31,37.89,163.96,107.75,144.56,125.66,-7.79,-146.10,1763.12
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,423.70,23.66,34.67,15.26,0.00,18.44,14.45,1.15,5.02,18.34,4.46,87.29,3.66,-286.45,246.70,87.29,0.09,0.03,215.53,1.11,8.86,41.20,56.25,6.36,1.11,3.01,277.91,16.94,0.03,264.58,41.91,6.41,48.32,4.21,44.11,0.35,43.76,0.00,21.04,0.00,225.66,1.48,0.04,289.02,159.96,35.83,47.08,0.56,4.24,48.88,34.67,24.67,-12.15,-8.61,-13.70,1016.41
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,309.20,8.42,501.73,1.71,2.72,7.57,7.98,12997.70,5.89,13.38,1.36,1.68,9.54,-21.68,4783.71,1.68,-0.29,51.82,16161.27,3.47,2.22,12.14,164.72,4.80,3.47,1.35,1962.41,88.58,0.00,1405.13,1237.15,147.44,1407.26,287.31,1119.95,759.24,338.04,-22.67,121.06,0.00,4662.65,9970.63,1005.10,20424.19,4077.89,2997.31,1738.24,991.06,447.33,1669.93,481.65,1543.02,-1719.04,-3976.13,3408.23,18730.51
ACS Tech,530745,ACSTECH,INE366C01021,IT - Services,IT Enabled Services,39.88,6.79,7.64,3.40,0.41,5.01,1.26,41.29,5.46,16.32,1.84,5.56,1.33,-12.08,101.87,5.56,,8.53,95.00,1.44,4.63,16.96,85.94,0.00,1.44,0.98,183.94,9.33,-0.16,126.58,10.25,0.36,10.61,2.57,8.04,2.37,5.67,0.00,60.74,0.00,41.13,20.96,6.50,179.14,110.93,60.41,17.16,2.80,1.77,15.57,8.14,14.39,8.85,-4.70,-9.76,244.08
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,915.15,40.11,422.74,16.70,0.08,28.65,35.50,142.69,5.32,17.77,1.27,25.92,3.40,45.89,1782.52,25.92,0.16,0.35,1117.96,1.51,8.52,26.47,93.68,5.82,1.51,0.75,3211.94,15.42,0.00,3327.05,505.76,100.32,603.67,28.31,575.36,28.65,549.12,2.41,23.82,0.00,1758.70,14.47,1.97,2990.22,1493.59,1178.60,495.23,22.64,32.98,586.82,422.75,411.98,206.46,-382.36,-28.99,10905.11
Active Clothing,541144,,INE380Z01015,Textiles & Apparels,Garments & Apparels,149.90,11.74,12.05,3.39,1.36,11.53,7.77,112.24,7.00,11.12,1.25,2.19,0.75,-30.35,82.28,2.19,-0.39,13.28,113.85,3.23,3.06,-22.42,66.44,0.00,3.23,0.70,312.07,9.39,0.00,296.15,27.53,0.97,28.50,7.13,21.37,11.36,10.01,0.00,15.51,0.00,66.77,124.60,0.00,304.99,228.55,182.89,29.29,11.02,6.87,24.13,12.05,-10.37,-21.02,-10.57,20.87,232.53
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,2494.00,19.92,286.97,12.13,0.01,16.00,35.05,8.35,1.90,48.28,3.60,143.45,16.80,-206.54,1413.64,143.45,0.02,0.05,1422.91,1.01,22.30,172.54,189.12,7.74,1.01,2.73,1215.10,31.42,0.00,1006.88,232.07,16.93,248.99,26.62,222.37,6.22,216.16,0.01,40.94,0.00,1372.70,8.18,4.75,1695.65,789.88,219.16,381.83,2.68,33.65,384.44,284.80,118.34,-76.30,-223.94,261.12,20417.80
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1436.70,9.71,2282.54,2.87,1.93,9.61,19.00,49176.43,3.10,24.96,1.15,1.86,6.25,-147.52,25427.54,1.86,-0.13,20.55,51237.02,3.28,3.92,15.69,252.33,0.00,3.28,1.11,27588.03,28.96,1.54,27588.03,7988.84,737.13,8725.97,1978.23,6747.74,3632.90,3114.84,0.00,1201.28,0.00,24226.26,37897.31,2377.97,92834.92,17825.76,15446.28,7988.84,3632.90,1978.23,6747.74,2392.75,10996.68,-3435.12,-14082.88,2630.34,172539.39
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Minerals Trading,Trading - Minerals,2321.80,9.45,3688.36,2.76,2.03,9.82,103.70,109464.93,2.75,24.65,0.97,1.79,3.18,-27.25,54063.25,1.79,-0.23,13.67,141738.78,3.56,3.11,66.95,239.82,2.11,3.56,0.69,94995.16,14.70,0.69,97894.75,14252.03,6403.10,16391.86,4211.33,12180.53,5978.02,10465.78,4263.27,122.34,0.00,53940.91,53943.39,37875.78,221408.05,47021.21,48636.06,13968.38,6169.02,5268.50,11062.49,14132.38,4513.10,-24294.30,-25709.33,21947.34,302169.44
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1229.70,7.02,1812.00,1.71,5.19,11.29,10.03,103545.00,2.73,26.03,0.57,1.28,15.68,-15.13,19965.00,1.28,-0.37,52.11,112480.00,6.38,2.65,20.00,432.29,0.00,6.38,0.56,12928.00,83.29,0.00,12928.00,10768.00,672.00,11659.00,3372.00,8287.00,6484.00,1584.00,-219.00,1647.00,0.00,18318.00,72408.00,7632.00,144097.00,11461.00,20150.00,10768.00,6484.00,3372.00,8287.00,1987.00,10135.00,-15774.00,-26227.00,15615.00,202651.64
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1628.50,13.80,12634.77,8.59,0.85,18.76,56.94,56850.70,4.41,17.81,1.12,4.95,10.28,56.80,67106.39,4.95,-0.02,5.14,109335.06,2.01,5.40,21.77,118.05,13.63,2.01,1.09,36486.63,59.27,0.00,30475.33,18140.52,1799.85,19578.20,4378.93,15199.27,2531.82,13029.62,362.17,460.79,315.91,66645.60,11395.62,39909.20,147207.02,25149.06,22539.42,21627.40,3763.68,5087.47,18614.70,12496.83,17226.28,9228.08,-9787.53,-6915.52,375010.47
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,218.05,22.54,11454.19,12.46,0.83,26.10,5.94,48463.69,3.83,20.79,1.58,5.54,7.75,47.22,58450.59,5.54,-0.01,3.80,100654.46,1.82,6.99,19.54,169.47,0.00,1.82,1.39,54254.83,36.65,0.00,56203.09,21418.33,2589.85,24023.83,4308.88,19714.95,3339.79,16359.51,-15.65,3856.94,138.58,54593.65,37816.94,1539.35,125550.53,26651.71,16877.62,19886.27,3164.47,4501.95,17541.28,11298.91,21501.11,9957.23,-17142.05,-5175.45,420206.71
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,635.60,17.47,641.97,9.19,0.45,16.82,5.84,2007.07,1.37,59.02,0.61,8.26,12.31,-1460.27,4508.95,8.26,0.04,3.07,5015.92,1.69,14.42,72.51,440.51,4.20,1.69,0.56,5678.45,20.43,0.00,4999.86,1137.38,41.68,1179.84,203.58,976.26,100.65,874.83,-0.78,109.98,0.00,4398.97,1746.19,87.91,8743.17,1252.77,2058.45,1159.94,118.24,233.05,976.88,641.97,963.87,23.02,-933.36,56.35,69887.21
ADC India,523411,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,1685.20,46.57,18.36,22.43,0.00,34.74,39.91,0.00,3.31,29.92,3.55,2379.00,4.20,56.56,77.01,2379.00,0.12,0.00,72.60,1.56,16.18,29.90,126.46,56.42,1.56,3.05,184.56,10.38,0.00,187.10,29.19,3.81,33.00,0.21,32.79,0.02,32.77,0.00,4.60,0.00,72.41,0.00,0.00,104.70,96.55,27.18,19.15,0.01,0.26,23.79,18.36,25.93,25.93,2.22,-25.32,775.19
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,268.20,16.91,85.25,11.18,0.02,13.98,7.32,12.08,3.97,21.45,5.00,44.33,4.57,118.20,528.87,44.33,0.07,0.17,569.46,1.19,10.14,78.79,108.47,19.36,1.19,3.62,645.57,18.75,0.00,589.58,98.37,14.06,107.03,18.25,88.78,2.58,91.60,5.40,21.97,0.00,506.90,8.75,50.48,676.70,396.23,79.25,121.03,2.57,20.08,113.94,80.45,37.42,-3.69,-38.95,-21.06,2948.24
Adisoft Technol.,,,INE20PL01012,,,,35.24,16.11,16.59,0.58,39.11,16110.00,28.43,7.91,12.54,1.74,18.62,2.13,,49.25,18.62,,1.76,51.46,1.97,6.97,-389.82,,0.00,1.97,1.44,131.72,16.40,,131.72,21.60,1.30,22.90,0.18,22.72,1.22,21.50,0.00,0.01,0.00,49.24,26.36,2.07,111.01,96.59,55.52,21.60,1.22,0.18,22.72,16.11,-0.72,-0.85,-4.85,9.08,280.67
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Capital Markets,Stockbroking & Allied,146.66,9.86,60.80,2.05,7.35,22.67,10.35,2205.61,11.78,8.08,1.61,1.60,1.76,-2.73,300.25,1.60,-1.21,37.72,620.35,9.89,1.05,-2.60,44.05,0.00,9.89,1.61,468.59,48.23,0.00,468.59,226.02,1.61,230.76,11.74,219.02,137.18,78.71,-3.13,5.65,0.00,294.60,0.00,1702.84,3466.19,1527.14,948.95,226.02,137.18,11.74,219.02,58.48,-317.26,-324.68,-5.68,357.87,824.99
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1064.55,32.24,977.18,22.91,0.02,25.16,33.76,63.73,4.15,23.27,1.04,254.17,16.68,43.99,4041.66,254.17,0.20,0.07,129.24,1.06,13.80,37.90,164.45,75.53,1.06,1.04,1845.03,59.87,0.00,1845.03,1104.69,211.66,1319.17,45.78,1273.39,5.01,1265.56,-2.82,144.40,0.00,3897.26,0.00,68.06,4415.43,237.20,229.04,1104.69,5.01,45.78,1273.39,975.07,811.93,765.89,-94.63,-702.58,30769.98
Aditya Bir. Fas.,535755,ABFRL,INE647O01011,Retailing,Speciality Retail,63.90,-2.87,-719.99,-3.76,0.91,-10.93,-5.28,5665.24,-2.67,13.44,1.43,-0.66,0.98,14.47,6252.91,-0.66,0.03,-12.43,11893.26,2.80,1.72,4.74,-60.16,0.00,2.80,0.83,7906.26,8.46,0.00,7351.40,698.65,525.22,793.33,1166.40,-373.07,607.50,-550.03,430.54,1220.52,0.56,5032.39,303.13,4713.09,17641.07,6534.50,4560.46,668.81,513.40,1291.85,-341.11,-689.67,1643.83,1051.15,-1664.75,333.70,7785.19
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,342.55,9.33,3548.26,1.32,4.86,11.49,13.40,156546.33,6.77,14.51,0.46,1.46,2.03,-3.49,32185.28,1.46,-1.35,45.91,-58350.06,8.40,0.71,-3.22,90.49,0.00,8.40,0.46,44263.78,36.04,-0.07,40632.23,14274.90,536.32,14755.13,246.20,14508.93,9694.18,4870.84,56.09,2617.27,0.00,29568.01,121202.10,18807.04,302372.38,50651.52,111040.69,15953.88,11106.45,292.86,16246.63,3584.70,-27934.63,-28382.40,932.73,29778.39,89884.75
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,2345.20,19.49,253.80,6.24,0.08,20.87,22.13,127.57,1.36,65.67,1.47,10.70,7.32,-604.25,1586.52,10.70,0.01,0.36,1620.51,2.37,15.53,1015.49,287.89,0.00,2.37,0.90,3776.23,10.79,-2.17,3111.87,247.64,259.38,258.69,31.12,227.57,41.81,434.09,248.33,11.76,0.00,1574.76,411.49,45.82,3373.10,2472.84,1685.54,407.41,34.93,45.25,373.84,253.80,27.21,0.96,88.21,-18.95,27631.48
